From,To,Similarity,X.y,fdd_var,cohort
s has difficulty getting to sleep?,"In the past Y, have you had difficulty getting to sleep",0.855,18761,v64_h8,cfas
s has difficulty getting to sleep?,"In the past Y, have you had difficulty getting to sleep",0.855,19097,v64_hx,cfas
s has difficulty getting to sleep?,"In the past Y, have you had difficulty getting to sleep",0.855,14267,v64_h6,cfas
s has difficulty getting to sleep?,"In the past Y, have you had difficulty getting to sleep",0.855,17091,v64_h12,cfas
s has difficulty getting to sleep?,"In the past Y, have you had difficulty getting to sleep",0.855,17426,v64_h14,cfas
s has difficulty getting to sleep?,"In the past Y, have you had difficulty getting to sleep",0.855,17761,v64_h16,cfas
s has difficulty getting to sleep?,"In the past Y, have you had difficulty getting to sleep",0.855,18437,v64_h6,cfas
s has difficulty getting to sleep?,"In the past Y, have you had difficulty getting to sleep",0.855,18761,v64_h8,cfas
s has difficulty getting to sleep?,"In the past Y, have you had difficulty getting to sleep",0.855,19097,v64_hx,cfas
"during the past month, how often have you had trouble sleeping because you:- had bad dreams",I had trouble sleeping because of bad dreams in the past 7D,0.841,1642,SP12,camcan
day sleep,Sleep,0.839,86511,Day sleep,nimrod
sleep disorders - excessive daytime sleepiness,Excessive daytime sleepiness - normal night sleep,0.829,875,SD_Ex_Sleep,ample
have you had any trouble sleeping recently?,I have no trouble sleeping.,0.821,36695,v201_w1,cfasii
have you had any trouble sleeping recently?,I have no trouble sleeping.,0.821,37401,v184_w2,cfasii
o-restless,Sleep is Restless,0.82,9896,v269_a0,cfas
o-restless,Sleep is Restless,0.82,10329,v269_a2,cfas
over past 2 weeks has been bothered by trouble falling or staying asleep - too much sleep,"Trouble falling or staying asleep, or sleeping too much in last 2W",0.8,72,F_734,airwave
"during the past month, how often have you had trouble sleeping because you:- cannot breathe comfortably","Trouble Sleeping, Cannot Breathe Comfortably",0.79,1638,SP8,camcan
psqi: sleep efficiency,Sleep Efficiency,0.79,84270,psqihse14x,mrc
sleep interrupted?,Sleep-interrupting,0.787,9701,v89_a0,cfas
sleep interrupted?,Sleep-interrupting,0.787,10135,v89_a2,cfas
sleep interrupted?,Sleep-interrupting,0.787,10603,v118_c12,cfas
sleep interrupted?,Sleep-interrupting,0.787,11189,v118_c14,cfas
sleep interrupted?,Sleep-interrupting,0.787,11773,v118_c16,cfas
sleep interrupted?,Sleep-interrupting,0.787,12366,v118_c2,cfas
sleep interrupted?,Sleep-interrupting,0.787,12872,v118_c6,cfas
sleep interrupted?,Sleep-interrupting,0.787,13411,v118_c8,cfas
sleep interrupted?,Sleep-interrupting,0.787,14645,v118_cx,cfas
sleep interrupted?,Sleep-interrupting,0.787,15508,v118_f1,cfas
sleep interrupted?,Sleep-interrupting,0.787,16002,v118_f3,cfas
sleep interrupted?,Sleep-interrupting,0.787,20193,v118_s6,cfas
sleep interrupted?,Sleep-interrupting,0.787,20784,v118_w8,cfas
type of sleep problem?,Problem with Sleep,0.785,19491,v118_s0,cfas
type of sleep problem?,Problem with Sleep,0.785,21416,v118_y0,cfas
duration of excessive daytime sleepiness in months,Excessive daytime sleepiness - normal night sleep,0.782,876,Ex_Sleep_Duration,ample
"during the past month, how often have you had trouble sleeping because you:- cannot get to sleep within 30 minutes","Trouble Sleeping, Cannot Get to Sleep Within 30 Minutes",0.781,1635,SP5,camcan
"during the past month, how often have you had trouble sleeping because you:- cough or snore loudly","Trouble Sleeping, Cough or Snoring Loudly",0.775,1639,SP9,camcan
