From,To,Similarity,X.y,fdd_var,cohort
"r5sleepr:w5 r cesd: sleep was restless (0,1)",Sleep is Restless,0.629,41601,r5sleepr,elsa
"s5sleepr:w5 s cesd: sleep was restless (0,1)",Sleep is Restless,0.629,41608,s5sleepr,elsa
duration of insomnia in months,Initial insomnia,0.628,884,Insomnia_duration,ample
"r6sleepr:w6 r cesd: sleep was restless (0,1)",Sleep is Restless,0.628,41602,r6sleepr,elsa
"s6sleepr:w6 s cesd: sleep was restless (0,1)",Sleep is Restless,0.628,41609,s6sleepr,elsa
q56e last mth- disturbed sleep (s11),Stress disturbed my sleep in past 7D,0.627,84694,FSLPDIST,whitehall
q56a last mth- trouble falling asleep (s,"Trouble falling or staying asleep, or sleeping too much in last 2W",0.627,85614,JSLPFALL,whitehall
q57e last mth- disturbed sleep (s12),Stress disturbed my sleep in past 7D,0.622,84815,DSLPDIST,whitehall
o-respondent fell asleep,Asleep,0.62,9927,v300_a0,cfas
o-respondent fell asleep,Asleep,0.62,10360,v300_a2,cfas
waking up early in the morning,"Trouble Sleeping, Waking Up in the Middle of the Night or Early Morning",0.619,36702,v208_w1,cfasii
waking up early in the morning,"Trouble Sleeping, Waking Up in the Middle of the Night or Early Morning",0.619,37408,v191_w2,cfasii
waking up early in the morning,"Trouble Sleeping, Waking Up in the Middle of the Night or Early Morning",0.619,36702,v208_w1,cfasii
waking up early in the morning,"Trouble Sleeping, Waking Up in the Middle of the Night or Early Morning",0.619,37408,v191_w2,cfasii
psqi: sleep latency,Sleep latency test,0.618,84271,psqilaten14x,mrc
margaret vignette: difficulty in sleeping in last 30 days,Difficulty sleeping,0.617,63467,shwake3,elsa
"much of the time during the past week, has your sleep been restless?",My sleep was restless in past 7D,0.615,51736,pscedc,elsa
q26d suffer menop sleep disturbance? (s4),Sleep disturbances,0.614,85136,VSYMSLP,whitehall
nightmares comments,"Nightmares, REM-sleep type",0.607,862,Night_Comm,ample
q57a last mth- trouble falling asleep (s12),"Trouble falling or staying asleep, or sleeping too much in last 2W",0.607,84816,DSLPFALL,whitehall
q29d suffer menop sleep disturbance? (s3),Sleep disturbances,0.605,85048,XSYMSLP,whitehall
"during the time when you felt sad or depressed for at least 2 weeks, did you: have more trouble falling asleep than you usually do, or sleeping too much? (fu4)","Trouble falling or staying asleep, or sleeping too much in last 2W",0.604,82761,SAD_SLEEP_FU4,epic
q56a last mth- trouble falling asleep (s11),"Trouble falling or staying asleep, or sleeping too much in last 2W",0.604,84695,FSLPFALL,whitehall
"types of trouble with sleep. if 2 types noted, code both, eg trouble 1 'difficulty getting to sleep' and 2 'waking up in the night' = 12",Have a Lot of Trouble Getting to Sleep,0.603,84291,sprob77,mrc
"in the last 30 days, how much difficulty have you had with sleeping, such as falling asleep, waking up frequently during the night or waking up too early in the morning","How many separate times in your life have you had difficulty getting to sleep, staying asleep or falling back to sleep after waking up during the night, for at least 1Mo",0.603,84440,Q54,nicola
whether respondent felt their sleep was restless during the past week,My sleep was restless in past 7D,0.597,59485,PScedC,elsa
q2.64a trouble falling asleep (s5),"Trouble falling or staying asleep, or sleeping too much in last 2W",0.597,85252,TSLPFALL,whitehall
[c3 sleep disturbance q4] how loud have others said your snoring is? ,Sleep disturbances,0.595,3351,c3loudnesssnoring,caps
[c3 sleep disturbance q4] how loud have others said your snoring is? ,Sleep disturbances,0.595,7157,T0481 C3 General health and sleep disturbance quests,caps
[c3 sleep disturbance q11f] feelings of excessive sleepiness during the day? ,Sleep disturbances,0.593,3363,c3sleepinessduringday,caps
[c3 sleep disturbance q11f] feelings of excessive sleepiness during the day? ,Sleep disturbances,0.593,7167,T0481 C3 General health and sleep disturbance quests,caps
[c3 sleep disturbance q13a] how many hours of sleep do you usually get in a workday night?,Sleep disturbances,0.588,3368,c3hrsworkdaysleep,caps
[c3 sleep disturbance q13a] how many hours of sleep do you usually get in a workday night?,Sleep disturbances,0.588,7151,T0481 C3 General health and sleep disturbance quests,caps
npi total number sleep,Total Sleep Time,0.587,649,npisleepnumber,ample
"on average, how many hours do you sleep in a 24 hour period? (fu2)",hours of sleep,0.585,82750,SLEEP_TIME_FU2,epic
"on average, how many hours do you sleep in a 24 hour period? (fu3)",hours of sleep,0.583,82754,SLEEP_TIME_FU3,epic
[c1 clinic interview q23c4c] personality: are you: have trouble sleeping or falling asleep ,"Trouble falling or staying asleep, or sleeping too much in last 2W",0.579,2247,c1troublesleeping,caps
[c1 clinic interview q23c4c] personality: are you: have trouble sleeping or falling asleep ,"Trouble falling or staying asleep, or sleeping too much in last 2W",0.579,4892,T0425 C1 Interview and Physical exercise quest,caps
npi frequency of sleep,NPI - Sleep and Nighttime Behavior Disorders Frequency,0.578,650,npisleepfreq,ample
npi total (axb) sleep,Total Sleep Time,0.577,653,npisleeptot,ample
troubled by vivid dreams?,"Trouble Sleeping, Having Bad Dreams",0.576,733,QSSLBD_Dreams,ample
"during the past month, how many hours of actual sleep did you get at night? (this may be different than the number of hours you spend in bed)",Hours of Actual Sleep at Night,0.576,1634,SP4,camcan
[c3 sleep disturbance q14] how often do you take a nap during the day or early evening? ,Sleep disturbances,0.574,3370,c3freqnapduringtheday,caps
[c3 sleep disturbance q14] how often do you take a nap during the day or early evening? ,Sleep disturbances,0.574,7144,T0481 C3 General health and sleep disturbance quests,caps
"nms-quest 0=symptom absent, 1=symptom present",sleep symptoms,0.574,84182,Nocturia,icicle
"nms-quest 0=symptom absent, 1=symptom present",sleep symptoms,0.574,84208,Daytime sleepiness,icicle
"nms-quest 0=symptom absent, 1=symptom present",sleep symptoms,0.574,84210,Insomnia,icicle
"nms-quest 0=symptom absent, 1=symptom present",sleep symptoms,0.574,84222,Tendency to act out dreams?,icicle
"nms-quest 0=symptom absent, 1=symptom present",sleep symptoms,0.574,84224,Dreams of being chased or attacked?,icicle
s. wake early in morning?,Does your child wake up early in the morning and have difficulty going back to sleep,0.569,13923,v66_h2,cfas
s. wake early in morning?,Does your child wake up early in the morning and have difficulty going back to sleep,0.569,16459,v66_h0,cfas
s. wake early in morning?,Does your child wake up early in the morning and have difficulty going back to sleep,0.569,16754,v66_h1,cfas
s. wake early in morning?,Does your child wake up early in the morning and have difficulty going back to sleep,0.569,18101,v66_h3,cfas
s wake early in morning?,Does your child wake up early in the morning and have difficulty going back to sleep,0.569,14268,v65_h6,cfas
s wake early in morning?,Does your child wake up early in the morning and have difficulty going back to sleep,0.569,17092,v65_h12,cfas
s wake early in morning?,Does your child wake up early in the morning and have difficulty going back to sleep,0.569,17427,v65_h14,cfas
s wake early in morning?,Does your child wake up early in the morning and have difficulty going back to sleep,0.569,17762,v65_h16,cfas
s wake early in morning?,Does your child wake up early in the morning and have difficulty going back to sleep,0.569,18438,v65_h6,cfas
s wake early in morning?,Does your child wake up early in the morning and have difficulty going back to sleep,0.569,18762,v65_h8,cfas
s wake early in morning?,Does your child wake up early in the morning and have difficulty going back to sleep,0.569,19098,v65_hx,cfas
s wake early in morning?,Does your child wake up early in the morning and have difficulty going back to sleep,0.569,35903,v90_h1,cfasii
s wake early in morning?,Does your child wake up early in the morning and have difficulty going back to sleep,0.569,36236,v90_h2,cfasii
s wake early in morning?,Does your child wake up early in the morning and have difficulty going back to sleep,0.569,14268,v65_h6,cfas
s wake early in morning?,Does your child wake up early in the morning and have difficulty going back to sleep,0.569,17092,v65_h12,cfas
s wake early in morning?,Does your child wake up early in the morning and have difficulty going back to sleep,0.569,17427,v65_h14,cfas
s wake early in morning?,Does your child wake up early in the morning and have difficulty going back to sleep,0.569,17762,v65_h16,cfas
s wake early in morning?,Does your child wake up early in the morning and have difficulty going back to sleep,0.569,18438,v65_h6,cfas
s wake early in morning?,Does your child wake up early in the morning and have difficulty going back to sleep,0.569,18762,v65_h8,cfas
s wake early in morning?,Does your child wake up early in the morning and have difficulty going back to sleep,0.569,19098,v65_hx,cfas
s wake early in morning?,Does your child wake up early in the morning and have difficulty going back to sleep,0.569,35903,v90_h1,cfasii
s wake early in morning?,Does your child wake up early in the morning and have difficulty going back to sleep,0.569,36236,v90_h2,cfasii
type of sleep complaints,patient complaints: interrupted sleep,0.565,84283,slct,mrc
[c3 sleep disturbance q11c] wake up repeatly during the night? ,Sleep disturbances,0.564,3360,c3wakerepeatedly,caps
[c3 sleep disturbance q11c] wake up repeatly during the night? ,Sleep disturbances,0.564,7179,T0481 C3 General health and sleep disturbance quests,caps
[c3 sleep disturbance q13b] how many hours of sleep do you usually get in a weekend or non-work night?,Sleep disturbances,0.564,3369,c3hrsweekendsleep,caps
[c3 sleep disturbance q13b] how many hours of sleep do you usually get in a weekend or non-work night?,Sleep disturbances,0.564,7150,T0481 C3 General health and sleep disturbance quests,caps
q31 hours of sleep on average week night (s1),Shortened sleep cycle (average 5.7 hours per night),0.562,84987,SLEEP,whitehall
hypnotic prescribed?,Used medication for anxiety or sleep not as prescribed or not prescribed for you in past 3Mo,0.561,1012,Hypnotic,ample
[c3 sleep disturbance q10] do you kick or make other disruptive movements during sleep? ,Sleep disturbances,0.561,3357,c3kickduringsleep,caps
[c3 sleep disturbance q10] do you kick or make other disruptive movements during sleep? ,Sleep disturbances,0.561,7152,T0481 C3 General health and sleep disturbance quests,caps
sleep disorders - troubled by vivid dreams,Sleep Disorders,0.56,855,SD_Vivid_Dream,ample
"[c3 sleep disturbance q3] according to others, please estimate how often you snore? ",Sleep disturbances,0.56,3350,c3freqsnoring,caps
"[c3 sleep disturbance q3] according to others, please estimate how often you snore? ",Sleep disturbances,0.56,7145,T0481 C3 General health and sleep disturbance quests,caps
sleep: number of hours on average week night,Shortened sleep cycle (average 5.7 hours per night),0.559,66008,heslpe,elsa
npi distress sleep,Stress disturbed my sleep in past 7D,0.558,652,npisleepdis,ample
duration of nightmares in months,"Nightmares, REM-sleep type",0.557,860,Night_duration_months,ample
...you got much less sleep than usual and found you didnt really miss it?,I didn't sleep as well as I usually sleep,0.555,83700,mdqa4,genscot
q73c cannot stay asleep in last 4 wks (s7),Cannot sleep at all,0.555,85358,MSLPSTAY,whitehall
[c3 sleep disturbance q11e] restless legs or borthersome twiches? ,legs feel restless disturbing sleep,0.553,3362,c3bothersometwitches,caps
[c3 sleep disturbance q11e] restless legs or borthersome twiches? ,legs feel restless disturbing sleep,0.553,7123,T0481 C3 General health and sleep disturbance quests,caps
symptoms at the time of menopause: difficulty in sleeping (women only) (fu3),Has your difficulty with sleeping occurred or worsened during menopause,0.551,82757,SLEEP_PROBS_FU3,epic
troubled by nightmares,"Nightmares, REM-sleep type",0.55,735,QSSLBD_Nightmare,ample
q57a sleep- nap during day (s11),During sleep,0.55,84698,FSLPNAP,whitehall
nightmares or disturbed sleep during past year (asked at 11 years),Stress disturbed my sleep in past 7D,0.549,84265,nig5657,mrc
q58a sleep- nap during day (s12),During sleep,0.548,84819,DSLPNAP,whitehall
q73c last mth- cannot stay asleep (s8),Cannot sleep at all,0.547,85503,KSLPSTAY,whitehall
q3.8d menopausal sleep disturb (s5),Menopause Plus Sleep KIT,0.545,85255,TSYMSLP,whitehall
duration of increased sleepiness in months,Duration of sleep,0.544,922,Inc_Sleep_Comm,ample
what time did you go to sleep yesteday? hours,hours of sleep,0.543,76918,sctsyh,elsa
number of sleep complaints,patient complaints: interrupted sleep,0.543,84281,slcn,mrc
over the last year have you had trouble with waking up and not being able to get back to sleep?,I have no trouble sleeping.,0.541,84275,pswak89,mrc
"a024 sleep problems - 1=absent, 2=present,",Absent REM sleep,0.537,1238,A024Sleep problems,brace
q56c last mth- cannot stay asleep (s9),Cannot sleep at all,0.536,85612,JSLPSTAY,whitehall
duration of sleeping: wkendsleep*2 wkdaysleep*5; (epaq 2hc),Sleep,0.533,82762,DURSLEEP_2HC,epic
q36d suffer menopausal sleep disturbance (s1),Sleep disturbances,0.533,84992,SYMSLP,whitehall
q61 breathing pauses during sleep (s9),"Pediatric home monitoring of breathing pauses during sleep, including breathing and heart rate, physician review and interpretation, 30-day time period",0.533,85609,JSLBRPAU,whitehall
who answered memory/sleep section?,Sleep Answer,0.532,19858,v120a_s2,cfas
derived sleep duration [difference between sleep and wake times] (hours),between dinner and the hour of sleep,0.532,84285,sldurat14x,mrc
npi severity of sleep,Usual Severity Difficulty Sleeping,0.53,651,npisleepsev,ample
rate sleep interrupted during the night most nights for at least two weeks,Sleep during the night in past 7D,0.53,36701,v207_w1,cfasii
rate sleep interrupted during the night most nights for at least two weeks,Sleep during the night in past 7D,0.53,37407,v190_w2,cfasii
"during the past month, how often have you taken medicine (prescribed or “over the counter”) to help you sleep?",Take Medicine to Help Sleep,0.528,1647,SP17,camcan
q2.64c cannot stay asleep (s5),Cannot sleep at all,0.527,85251,TSLPSTAY,whitehall
duration of sleeping on weekday (epaq 3hc),sleep latency on weekdays,0.526,82766,DURSLEEPWKDAY_3HC,epic
[c3 general health q3] have you recently been having restless disturbed nights? ,Distressed by Sleep that is Restless and Disturbed,0.525,3320,c3restlessdisturbednights,caps
[c3 general health q3] have you recently been having restless disturbed nights? ,Distressed by Sleep that is Restless and Disturbed,0.525,7164,T0481 C3 General health and sleep disturbance quests,caps
[c3 sleep disturbance] the unique number allocated to each subject in the study as recorded on card 9,Sleep disturbances,0.525,7132,T0481 C3 General health and sleep disturbance quests,caps
q73c hours/day sleep (s3),hours of sleep,0.523,85123,XWKSLEEP,whitehall
hypnotic dose/comments,sleep disorder; hypnotics,0.522,1013,Hypnotic_Dose_Comm,ample
[c3 sleep disturbance q9] how often do you seem to have momentary periods in your sleep when you breath abnormally? ,Sleep disturbances,0.521,3356,c3sleepbreathupnormally,caps
[c3 sleep disturbance q9] how often do you seem to have momentary periods in your sleep when you breath abnormally? ,Sleep disturbances,0.521,7165,T0481 C3 General health and sleep disturbance quests,caps
duration of sleeping on weekday (epaq 2hc),sleep latency on weekdays,0.52,82763,DURSLEEPWKDAY_2HC,epic
"[c3 sleep disturbance q7] according to others how often do you gasp, choke or make snorting sounds during sleep? ",Sleep disturbances,0.519,3354,c3gaspduringsleep,caps
"[c3 sleep disturbance q7] according to others how often do you gasp, choke or make snorting sounds during sleep? ",Sleep disturbances,0.519,7146,T0481 C3 General health and sleep disturbance quests,caps
average daily sleep time (hours) during the week,During sleep,0.517,1577,EPAQ_001,camcan
bh203f_hours - amount of sleep - hours :,hours of sleep,0.516,84355,BH203f_hours,nicola
following traumatic event has been bothered by difficulty falling or staying asleep,Have Difficulty Getting to Sleep and Staying Asleep,0.515,17,F_188,airwave
insomnia most of the night and sleeps mainly during the day,Sleeps during day,0.515,36698,v204_w1,cfasii
insomnia most of the night and sleeps mainly during the day,Sleeps during day,0.515,37404,v187_w2,cfasii
duration of sleeping on weekend (epaq 3hc),Duration of sleep,0.515,82767,DURSLEEPWKEND_3HC,epic
q57c last mth- cannot stay asleep (s12),Cannot sleep at all,0.515,84814,DSLPSTAY,whitehall
[c3 sleep disturbance q12] approximately how many minutes does it usually take you to fall asleep at night?,Sleep disturbances,0.513,3367,c3timefallasleep,caps
[c3 sleep disturbance q12] approximately how many minutes does it usually take you to fall asleep at night?,Sleep disturbances,0.513,7174,T0481 C3 General health and sleep disturbance quests,caps
q56c last mth- cannot stay asleep (s11),Cannot sleep at all,0.513,84693,FSLPSTAY,whitehall
q64 fallen asleep whilst driving (s9),Sleep driving,0.513,85610,JSLDRIVE,whitehall
"during the past month, how often have you had trouble staying awake while driving, eating meals, or engaging in social activity?","While resting, sleeping, eating or engaging in other vital activities",0.511,1648,SP18,camcan
duration of sleeping on weekend (epaq 2hc),Duration of sleep,0.509,82764,DURSLEEPWKEND_2HC,epic
bh203e - do you take any medication (over the counter or prescribed) to help you sleep?,Used medication for anxiety or sleep not as prescribed or not prescribed for you in past 3Mo,0.508,84354,BH203e,nicola
[c1 clinic interview q23c2g] personality: are you: do you have great difficulty in falling or staying asleep? ,Have Difficulty Getting to Sleep and Staying Asleep,0.506,2237,c1sleeping,caps
[c1 clinic interview q23c2g] personality: are you: do you have great difficulty in falling or staying asleep? ,Have Difficulty Getting to Sleep and Staying Asleep,0.506,4877,T0425 C1 Interview and Physical exercise quest,caps
[c3 sleep disturbance] date of birth of the subject in format dd/mm/yyyy from card 9,Sleep disturbances,0.506,7130,T0481 C3 General health and sleep disturbance quests,caps
proxy answered eating habits and sleep sections?,Sleep Answer,0.506,36709,v215_w1,cfasii
proxy answered eating habits and sleep sections?,Sleep Answer,0.506,37415,v198_w2,cfasii
obs - generally sleepy,At what time do you usually go to sleep - feel sleepy and ready to go to bed,0.505,10855,v362_c12,cfas
obs - generally sleepy,At what time do you usually go to sleep - feel sleepy and ready to go to bed,0.505,11441,v362_c14,cfas
obs - generally sleepy,At what time do you usually go to sleep - feel sleepy and ready to go to bed,0.505,12025,v362_c16,cfas
obs - generally sleepy,At what time do you usually go to sleep - feel sleepy and ready to go to bed,0.505,12631,v362_c2,cfas
obs - generally sleepy,At what time do you usually go to sleep - feel sleepy and ready to go to bed,0.505,13144,v362_c6,cfas
obs - generally sleepy,At what time do you usually go to sleep - feel sleepy and ready to go to bed,0.505,13698,v362_c8,cfas
obs - generally sleepy,At what time do you usually go to sleep - feel sleepy and ready to go to bed,0.505,14931,v362_cx,cfas
obs - generally sleepy,At what time do you usually go to sleep - feel sleepy and ready to go to bed,0.505,15773,v362_f1,cfas
obs - generally sleepy,At what time do you usually go to sleep - feel sleepy and ready to go to bed,0.505,16267,v362_f3,cfas
obs - generally sleepy,At what time do you usually go to sleep - feel sleepy and ready to go to bed,0.505,20485,v362_s6,cfas
obs - generally sleepy,At what time do you usually go to sleep - feel sleepy and ready to go to bed,0.505,21036,v362_w8,cfas
obs - generally sleepy,At what time do you usually go to sleep - feel sleepy and ready to go to bed,0.505,37133,v639_w1,cfasii
obs - generally sleepy,At what time do you usually go to sleep - feel sleepy and ready to go to bed,0.505,37829,v612_w2,cfasii
obs - generally sleepy,At what time do you usually go to sleep - feel sleepy and ready to go to bed,0.505,10855,v362_c12,cfas
obs - generally sleepy,At what time do you usually go to sleep - feel sleepy and ready to go to bed,0.505,11441,v362_c14,cfas
obs - generally sleepy,At what time do you usually go to sleep - feel sleepy and ready to go to bed,0.505,12025,v362_c16,cfas
obs - generally sleepy,At what time do you usually go to sleep - feel sleepy and ready to go to bed,0.505,12631,v362_c2,cfas
obs - generally sleepy,At what time do you usually go to sleep - feel sleepy and ready to go to bed,0.505,13144,v362_c6,cfas
obs - generally sleepy,At what time do you usually go to sleep - feel sleepy and ready to go to bed,0.505,13698,v362_c8,cfas
obs - generally sleepy,At what time do you usually go to sleep - feel sleepy and ready to go to bed,0.505,14931,v362_cx,cfas
obs - generally sleepy,At what time do you usually go to sleep - feel sleepy and ready to go to bed,0.505,15773,v362_f1,cfas
obs - generally sleepy,At what time do you usually go to sleep - feel sleepy and ready to go to bed,0.505,16267,v362_f3,cfas
obs - generally sleepy,At what time do you usually go to sleep - feel sleepy and ready to go to bed,0.505,20485,v362_s6,cfas
obs - generally sleepy,At what time do you usually go to sleep - feel sleepy and ready to go to bed,0.505,21036,v362_w8,cfas
obs - generally sleepy,At what time do you usually go to sleep - feel sleepy and ready to go to bed,0.505,37133,v639_w1,cfasii
obs - generally sleepy,At what time do you usually go to sleep - feel sleepy and ready to go to bed,0.505,37829,v612_w2,cfasii
"[c3 sleep disturbance q5] based on what others have told you, for about how many years do you think you have snored?",Sleep disturbances,0.501,3352,c3yrssnoring,caps
"[c3 sleep disturbance q5] based on what others have told you, for about how many years do you think you have snored?",Sleep disturbances,0.501,7182,T0481 C3 General health and sleep disturbance quests,caps
lost sleep over worry,Sleep loss,0.501,47320,ghqsleep,elsa
[c3 sleep disturbance] original text version of date of birth of the subject in format ddmmyy from card 9,PROMIS short form - sleep disturbance - 8b - version 1.0,0.5,7133,T0481 C3 General health and sleep disturbance quests,caps
do you generally sleep well? (fu2),I didn't sleep as well as I usually sleep,0.5,82749,SLEEP_WELL_FU2,epic
sleep been disturbed by itching or scratching,Stress disturbed my sleep in past 7D,0.498,47177,slesk,elsa
sleep disorders - transient loss of consciousness,Sleep Disorders,0.497,879,SD_TLOC,ample
do you generally sleep well? (fu3),I didn't sleep as well as I usually sleep,0.497,82753,SLEEP_WELL_FU3,epic
[c2 home & work environment q21] how many months a year do you sleep with your bedroom window open? ,Environmental Sleep Disorder,0.495,2797,c2homesleephours,caps
[c2 home & work environment q21] how many months a year do you sleep with your bedroom window open? ,Environmental Sleep Disorder,0.495,6210,T0459 C2 Home and Work Environment and Noise levels quests,caps
[c2 home & work environment q29] does traffic noise wake you up? ,Environmental Sleep Disorder,0.493,2805,c2wakeupduenoise,caps
[c2 home & work environment q29] does traffic noise wake you up? ,Environmental Sleep Disorder,0.493,6231,T0459 C2 Home and Work Environment and Noise levels quests,caps
"[c3 sleep disturbance q11g] nasal congestion, obstruction, or discharge at night? ",Sleep disturbances,0.491,3364,c3nasalcongestion,caps
"[c3 sleep disturbance q11g] nasal congestion, obstruction, or discharge at night? ",Sleep disturbances,0.491,7158,T0481 C3 General health and sleep disturbance quests,caps
q54 recent lost much sleep? (s2),Sleep loss,0.491,85014,ZGHQ02,whitehall
"during the past month, how long (in minutes) has it usually taken you to fall asleep each night?",Sleep during the night in past 7D,0.489,1632,SP2,camcan
developed any sleeping problems?,Problem with Sleep,0.487,19855,v117_s2,cfas
[c3 sleep disturbance q15] do you have any allergies like hay fever that cause congestion? ,Sleep disturbances,0.486,3371,c3allergiescausingnasalcongestio,caps
[c3 sleep disturbance q15] do you have any allergies like hay fever that cause congestion? ,Sleep disturbances,0.486,7119,T0481 C3 General health and sleep disturbance quests,caps
bh203c - how often in the past month did you have trouble staying asleep (including waking far too early)?,"Trouble falling or staying asleep, or sleeping too much in last 2W",0.484,84352,BH203c,nicola
[c3 sleep disturbance q11i] need for coffee or other stimulants to stay awake during the day? ,Sleep disturbances,0.482,3366,c3stimulantstostayawake,caps
[c3 sleep disturbance q11i] need for coffee or other stimulants to stay awake during the day? ,Sleep disturbances,0.482,7169,T0481 C3 General health and sleep disturbance quests,caps
insomnia requiring treatment (fu2),Initial insomnia,0.48,82745,INSOMNIA_FU2,epic
total minutes sleep daily,Total Sleep Time,0.478,84496,TotalMinutesSleepDaily,nicola
q25 lost sleep by worry (s9),Sleep loss,0.478,85675,JGHQ02,whitehall
[c5 self completion quest q45] how often do you kick or make other disruptive movements during sleep? ,Disrupted sleep,0.476,4546,c5q45kicking,caps
[c5 self completion quest q45] how often do you kick or make other disruptive movements during sleep? ,Disrupted sleep,0.476,8830,T0532 C5 Self completion quest part2,caps
sleep: frequency wake up several times at night,NPI - Sleep and Nighttime Behavior Disorders Frequency,0.476,66006,heslpb,elsa
lost much sleep over worry?,Sleep loss,0.476,83655,b1,genscot
lost much sleep over worry,Sleep loss,0.476,84426,Q25,nicola
"[c3 sleep disturbance q11h] fall asleep or doze momentarily: watching tv, reading, in meetings etc? ",Sleep disturbances,0.475,3365,c3dozemomentarily,caps
"[c3 sleep disturbance q11h] fall asleep or doze momentarily: watching tv, reading, in meetings etc? ",Sleep disturbances,0.475,7139,T0481 C3 General health and sleep disturbance quests,caps
q58 snoring description (s9),Use Sedative or Sleeping Medication Not as Prescribed or Without a Prescription,0.473,85617,JSNORHOW,whitehall
[c3 sleep disturbance q6] how often(if ever) have you had the feeling or awareness that you have been snoring? ,Sleep disturbances,0.472,3353,c3awarenesssnoring,caps
[c3 sleep disturbance q6] how often(if ever) have you had the feeling or awareness that you have been snoring? ,Sleep disturbances,0.472,7120,T0481 C3 General health and sleep disturbance quests,caps
other: insomnia requiring treatment (fu3),Initial insomnia,0.47,82747,INSOMNIA_FU3,epic
q42 lost sleep by worry (s8),Sleep loss,0.47,85542,KGHQ02,whitehall
[c3 general health q8] have you recently been satisfied with the way you’ve carried out your task? ,I was satisfied with my sleep in past 7D,0.469,3325,c3tasksatisfaction,caps
[c3 general health q8] have you recently been satisfied with the way you’ve carried out your task? ,I was satisfied with my sleep in past 7D,0.469,7173,T0481 C3 General health and sleep disturbance quests,caps
q72 hours sleep on avg wk-night (s8),hours of sleep,0.469,85502,KSLEEP,whitehall
average daily sleep time (hours) during the weekend,During sleep,0.466,1578,EPAQ_002,camcan
time respondent went to sleep yesterday (hours),hours of sleep,0.466,82561,sctsyh,elsa
sleep hr (beats/min) [value used for step test analysis],Sleep Paralysis,0.466,84235,actstshr0610,mrc
s. restless/wakeful at night?,wakefulness and sleep,0.465,13922,v65_h2,cfas
s. restless/wakeful at night?,wakefulness and sleep,0.465,16458,v65_h0,cfas
s. restless/wakeful at night?,wakefulness and sleep,0.465,16753,v65_h1,cfas
s. restless/wakeful at night?,wakefulness and sleep,0.465,18100,v65_h3,cfas
[c2 home & work environment q28] does traffic noise make it difficult for you to fall asleep? ,Environmental Sleep Disorder,0.464,2804,c2sleepdifficult,caps
[c2 home & work environment q28] does traffic noise make it difficult for you to fall asleep? ,Environmental Sleep Disorder,0.464,6225,T0459 C2 Home and Work Environment and Noise levels quests,caps
q55 hours sleep on avg wk-night (s9),hours of sleep,0.463,85611,JSLEEP,whitehall
q57c sleep - length of nap during day (s11),During sleep,0.458,84700,FSLPNAPL,whitehall
amount of sleep usually enjoyed over a 24 hour period,Amount of sleep,0.457,14,F_089,airwave
q58c sleep - length of nap during day (s12),During sleep,0.457,84821,DSLPNAPL,whitehall
psqi: needs medications to sleep,taking medication to help sleep,0.456,84272,psqimeds14x,mrc
acting out dreams ever,"How often do you remember your dreams - that is, dreams that occur during your regular sleep and not while napping",0.455,869,Acting_Ever,ample
q72 week-night average hours of sleep (s7),Shortened sleep cycle (average 5.7 hours per night),0.454,85357,MSLEEP,whitehall
[c3 sleep disturbance q8] how often have you wakened suddenly with the feeling of gasping or choking? ,Sleep disturbances,0.453,3355,c3wakegasping,caps
[c3 sleep disturbance q8] how often have you wakened suddenly with the feeling of gasping or choking? ,Sleep disturbances,0.453,7178,T0481 C3 General health and sleep disturbance quests,caps
does child sleep in room alone or with others?,Does your child usually sleep with the mouth open,0.45,84279,sla6,mrc
ghq: lost sleep over worry,Sleep loss,0.446,45586,ghqsleep,elsa
q23 lost sleep by worry (s11),Sleep loss,0.446,84738,FGHQ02,whitehall
q56 hours sleep on avg wk-night (s12),hours of sleep,0.444,84813,DSLEEP,whitehall
q23 lost sleep by worry (s12),Sleep loss,0.444,84868,DGHQ02,whitehall
vivid dreams comments,involuntary movements during sleep with vivid dream recall,0.443,858,Vivid_Comm,ample
taken anything to help sleep?,Take Medicine to Help Sleep,0.443,9697,v85_a0,cfas
taken anything to help sleep?,Take Medicine to Help Sleep,0.443,10131,v85_a2,cfas
in the winter do you usually sleep with your bedroom windows open?,Does your child usually sleep with the mouth open,0.443,84236,bedw71,mrc
[c5 self completion quest q47] how many hours of sleep do you usually get each night?,How many H and Ms of sleep do you usually get when you take a nap,0.442,4548,c5q47hoursofsleep,caps
[c5 self completion quest q47] how many hours of sleep do you usually get each night?,How many H and Ms of sleep do you usually get when you take a nap,0.442,8832,T0532 C5 Self completion quest part2,caps
do you normally take a nap during the day? (fu2),Do you normally work or attend school during the D and sleep at night,0.442,82751,NAP_FU2,epic
i often have ideas running through my head so that i cannot sleep,Cannot sleep at all,0.442,84262,mp19,mrc
q55 hours sleep on avg wk-night (s11),hours of sleep,0.442,84692,FSLEEP,whitehall
do you normally take a nap during the day? (fu3),Do you normally work or attend school during the D and sleep at night,0.44,82755,NAP_FU3,epic
taken anything to help you sleep?,Take Medicine to Help Sleep,0.437,10600,v114_c12,cfas
taken anything to help you sleep?,Take Medicine to Help Sleep,0.437,11186,v114_c14,cfas
taken anything to help you sleep?,Take Medicine to Help Sleep,0.437,11770,v114_c16,cfas
taken anything to help you sleep?,Take Medicine to Help Sleep,0.437,12362,v114_c2,cfas
taken anything to help you sleep?,Take Medicine to Help Sleep,0.437,12868,v114_c6,cfas
