master_id,who,Cohort,Cohort_Var_Name,Full_Description,Cohort_Var_Description,Consensus Category,Test Categories
193,BJD,CFAS,v116_c12,RATE HAS INSOMNIA MOST OF THE NIGHT AND SLEEPS MAINLY DURING THE DAY (If not established ASK When do you get any sleep?),rating: has insomnia,['Sleep Disorders'],['No Specific Test']
217,BJD,CFAS,v88_a0,Difficulty falling asleep,difficulty falling asleep?,"['Sleep Difficulty', 'Sleep Latency and Waking']",['No Specific Test']
251,BJD,CFAS,v118_s2,Do you have problems staying asleep or falling asleep?,type of sleeping problem,['Sleep Difficulty'],['No Specific Test']
270,BJD,CFAS,v361_c12,Interviewee repeatedly falls asleep and has to be awakened.,obs - falls asleep,['Uncategorized'],['No Specific Test']
328,BJD,CFAS,v300_a0,Rate-Respondent fell asleep,o-respondent fell asleep,['Uncategorized'],['No Specific Test']
505,BJD,CFAS,v117_s2,Do you ever have any problems sleeping? (PROMPT: How often?),developed any sleeping problems?,['Sleep Difficulty'],['No Specific Test']
532,BJD,CFAS,v65_h2,Is s/he restless or wakeful during the night?,s. restless/wakeful at night?,"['Sleep Difficulty', 'Sleep Latency and Waking']",['No Specific Test']
553,BJD,CFAS,v85_a0,Anything taken to help sleep?,taken anything to help sleep?,['Sleep Medications and Aids'],['No Specific Test']
562,BJD,CFAS,v114_c12,Have you taken anything to help you sleep? Does it help?,taken anything to help you sleep?,['Sleep Medications and Aids'],['No Specific Test']
682,BJD,CFAS,v92_a0,What disturbs sleep,what wakes you up?,['Sleep Latency and Waking'],['No Specific Test']
85,BJD,CFAS,v269_a0,Rate-restless,o-restless,['Sleep Difficulty'],['No Specific Test']
167,BJD,CFAS,v119_s0,At what age did your sleep become a problem?,age at onset of sleep problem?,['Uncategorized'],['No Specific Test']
248,BJD,CFAS,v120a_s0,rate: who answered sleep section?,rate: who answered sleep section?,['Uncategorized'],['No Specific Test']
257,BJD,CFAS,v86_a0,How long troubled sleep,how long troubled sleep?,['Sleep Difficulty'],['No Specific Test']
373,BJD,CFAS,v65_h6,Is s/he restless or wakeful during the night?,s wake early in morning?,['Sleep Latency and Waking'],['No Specific Test']
369,BJD,CFAS,v66_h2,"Does s/he wake early in the morning, before his/her normal time, and not get back to sleep again?",s. wake early in morning?,['Sleep Latency and Waking'],['No Specific Test']
426,BJD,CFAS,v120a_s2,who answered memory/sleep section?,who answered memory/sleep section?,['Uncategorized'],['No Specific Test']
463,BJD,CFAS,v362_c12,"Interviewee appears generally sleep, but does not actually fall asleep.",obs - generally sleepy,['Uncategorized'],['No Specific Test']
584,BJD,CFAS,v90_a0,Wakes up early,wake up early?,['Sleep Latency and Waking'],['No Specific Test']
600,BJD,CFAS,v167_c12,Was it when you were wide awake?,when you are wide awake?,['Uncategorized'],['No Specific Test']
669,BJD,CFAS,v157_a0,Visions when wide awake,vision when you are wide awake?,['Uncategorized'],['No Specific Test']
723,BJD,CFAS,v120_c12,"RATE AWAKENS EARLY BY 2 HOURS OR MORE & CANNOT GET BACK TO SLEEP, MOST NIGHTS FOR AT LEAST TWO WEEKS IN THE LAST MONTH.",rating: wakes early by 2 hrs,"['Sleep Duration', 'Sleep Latency and Waking']",['No Specific Test']
34,BJD,CFASII,v88_h1,Does s/he have difficulty in getting to sleep?,difficulty in getting to sleep,['Sleep Difficulty'],['No Specific Test']
48,BJD,CFASII,v310_h1,Does s/he take alcohol to get to sleep?,take alcohol to sleep?,['Alcohol Related'],['No Specific Test']
83,BJD,CFASII,v201_w1,Have you had any trouble sleeping recently?,have you had any trouble sleeping recently?,['Sleep Difficulty'],['No Specific Test']
129,BJD,CFASII,v89_h1,Is s/he restless or wakeful during the night?,s restless at night?,['Sleep Difficulty'],['No Specific Test']
147,BJD,CFASII,v132_h1,Did s/he have difficulty sleeping at the start? (If YES: How bad was that?),s difficulty sleeping at beginning?,['Sleep Difficulty'],['No Specific Test']
182,BJD,CFASII,v133_h1,Is that a problem now? (If YES: How bad is it?),sleeping a problem now?,['Sleep Difficulty'],['No Specific Test']
212,BJD,CFASII,v206_w1,Is your sleep interrupted during the night?,sleep interrupted during the night?,['Sleep Difficulty'],['No Specific Test']
230,BJD,CFASII,v205_w1,Have you had difficulty falling asleep (getting off to sleep)? Do you lie awake for long periods of time (waiting for sleep)?,difficulty falling asleep?,"['Sleep Difficulty', 'Sleep Latency and Waking']",['No Specific Test']
281,BJD,CFASII,v638_w1,obs - falls asleep,obs - falls asleep,['Uncategorized'],['No Specific Test']
330,BJD,CFASII,v208_w1,Have you recently been waking up early in the morning and found it impossible to get back to sleep? What time would that be? Is that your usual time? How often has it happened?,waking up early in the morning,['Sleep Latency and Waking'],['No Specific Test']
695,BJD,CFASII,v210_w1,"What wakes you up? (What is the difficulty?) Is it a physical problem like having to pass (water) urine, or pain? Does noise bother you?",what wakes you up?,['Sleep Latency and Waking'],['No Specific Test']
380,BJD,CFASII,v90_h1,"Does s/he wake early in the morning, before his/her normal time, and not get back to sleep again?",s wake early in morning?,['Sleep Latency and Waking'],['No Specific Test']
429,BJD,CFASII,v207_w1,RATE SLEEP INTERRUPTED DURING THE NIGHT MOST NIGHTS FOR AT LEAST TWO WEEKS IN THE LAST MONTH.,rate sleep interrupted during the night most nights for at least two weeks,['Sleep Difficulty'],['No Specific Test']
447,BJD,CFASII,v204_w1,RATE HAS INSOMNIA MOST OF THE NIGHT AND SLEEPS MAINLY DURING THE DAY (If not established ASK When do you get any sleep?),insomnia most of the night and sleeps mainly during the day,['Sleep Disorders'],['No Specific Test']
461,BJD,CFASII,v215_w1,Proxy answered eating habits and sleep section.,proxy answered eating habits and sleep sections?,['Uncategorized'],['No Specific Test']
474,BJD,CFASII,v639_w1,obs - generally sleepy,obs - generally sleepy,['Uncategorized'],['No Specific Test']
625,BJD,CFASII,v202_w1,Have you taken anything to help you sleep? Does it help?,have you taken anything to help you sleep?,['Sleep Medications and Aids'],['No Specific Test']
653,BJD,CFASII,v257_w1,Was it when you were wide awake?,was it when you were wide awake?,['Uncategorized'],['No Specific Test']
10,,ELSA,heslpf,During the last month how would you rate your sleep quality overall?, sleep: rating sleep quality overall,['Sleep Quality'],['No Specific Test']
9,,ELSA,heslpf,During the last month how would you rate your sleep quality overall?,sleep: rating sleep quality overall,['Sleep Quality'],['No Specific Test']
27,,ELSA,shwake1,difficulty in sleeping in last 30 days,difficulty in sleeping in last 30 days,['Sleep Difficulty'],['No Specific Test']
116,,ELSA,sletw,"in the last 12 months, how often has wheezing disturbed sleep","in the last 12 months, how often has wheezing disturbed sleep",['Sleep Difficulty'],['No Specific Test']
209,,ELSA,heslpa,How often do you have difficulty falling asleep?,sleep: how often respondent has difficulty falling asleep,"['Sleep Difficulty', 'Sleep Latency and Waking']",['No Specific Test']
265,,ELSA,shwake4,alice vignette: difficulty in sleeping in last 30 days,alice vignette: difficulty in sleeping in last 30 days,['Sleep Difficulty'],['No Specific Test']
298,,ELSA,shwake2,carol vignette: difficulty in sleeping in last 30 days,carol vignette: difficulty in sleeping in last 30 days,['Sleep Difficulty'],['No Specific Test']
307,,ELSA,pscedc,"(Much of the time during the past week), your sleep was restless?",whether felt their sleep was restless during past week,['Sleep Difficulty'],['No Specific Test']
309,,ELSA,r7sleepr,"r7sleepr:w7 r cesd: sleep was restless (0,1)","r7sleepr:w7 r cesd: sleep was restless (0,1)",['Sleep Difficulty'],['CESD']
310,,ELSA,s7sleepr,"s7sleepr:w7 s cesd: sleep was restless (0,1)","s7sleepr:w7 s cesd: sleep was restless (0,1)",['Sleep Difficulty'],['CESD']
311,,ELSA,r1sleepr,"r1sleepr:w1 r cesd: sleep was restless (0,1)","r1sleepr:w1 r cesd: sleep was restless (0,1)",['Sleep Difficulty'],['CESD']
312,,ELSA,r2sleepr,"r2sleepr:w2 r cesd: sleep was restless (0,1)","r2sleepr:w2 r cesd: sleep was restless (0,1)",['Sleep Difficulty'],['CESD']
313,,ELSA,r3sleepr,"r3sleepr:w3 r cesd: sleep was restless (0,1)","r3sleepr:w3 r cesd: sleep was restless (0,1)",['Sleep Difficulty'],['CESD']
314,,ELSA,s1sleepr,"s1sleepr:w1 s cesd: sleep was restless (0,1)","s1sleepr:w1 s cesd: sleep was restless (0,1)",['Sleep Difficulty'],['CESD']
315,,ELSA,s2sleepr,"s2sleepr:w2 s cesd: sleep was restless (0,1)","s2sleepr:w2 s cesd: sleep was restless (0,1)",['Sleep Difficulty'],['CESD']
316,,ELSA,s3sleepr,"s3sleepr:w3 s cesd: sleep was restless (0,1)","s3sleepr:w3 s cesd: sleep was restless (0,1)",['Sleep Difficulty'],['CESD']
318,,ELSA,r4sleepr,"r4sleepr:w4 r cesd: sleep was restless (0,1)","r4sleepr:w4 r cesd: sleep was restless (0,1)",['Sleep Difficulty'],['CESD']
319,,ELSA,s4sleepr,"s4sleepr:w4 s cesd: sleep was restless (0,1)","s4sleepr:w4 s cesd: sleep was restless (0,1)",['Sleep Difficulty'],['CESD']
320,,ELSA,r5sleepr,"r5sleepr:w5 r cesd: sleep was restless (0,1)","r5sleepr:w5 r cesd: sleep was restless (0,1)",['Sleep Difficulty'],['CESD']
321,,ELSA,s5sleepr,"s5sleepr:w5 s cesd: sleep was restless (0,1)","s5sleepr:w5 s cesd: sleep was restless (0,1)",['Sleep Difficulty'],['CESD']
323,,ELSA,r6sleepr,"r6sleepr:w6 r cesd: sleep was restless (0,1)","r6sleepr:w6 r cesd: sleep was restless (0,1)",['Sleep Difficulty'],['CESD']
324,,ELSA,s6sleepr,"s6sleepr:w6 s cesd: sleep was restless (0,1)","s6sleepr:w6 s cesd: sleep was restless (0,1)",['Sleep Difficulty'],['CESD']
335,,ELSA,shwake3,margaret vignette: difficulty in sleeping in last 30 days,margaret vignette: difficulty in sleeping in last 30 days,['Sleep Difficulty'],['No Specific Test']
336,,ELSA,pscedc,"(Much of the time during the past week), your sleep was restless?","much of the time during the past week, has your sleep been restless?",['Sleep Difficulty'],['No Specific Test']
345,,ELSA,PScedC,"(Much of the time during the past week), your sleep was restless?",whether respondent felt their sleep was restless during the past week,['Sleep Difficulty'],['No Specific Test']
491,,ELSA,ghqsleep,lost sleep over worry,lost sleep over worry,['Mental Health and Sleep'],['GHQ']
548,,ELSA,ghqsleep,ghq: lost sleep over worry,ghq: lost sleep over worry,['Mental Health and Sleep'],['GHQ']
634,,ELSA,scghqb,have you recently lost much sleep over worry?,have you recently lost much sleep over worry?,['Mental Health and Sleep'],['GHQ']
114,,ELSA,heslpc,How often in the past month did you have trouble staying asleep (including waking far too early)?,sleep: no. days trouble staying asleep in last month,"['Sleep Difficulty', 'Sleep Latency and Waking']",['No Specific Test']
301,,ELSA,nohtbc10,no height: child asleep,no height: child asleep,['Uncategorized'],['No Specific Test']
303,,ELSA,nowtbc11,no weight: child asleep,no weight: child asleep,['Uncategorized'],['No Specific Test']
403,,ELSA,heslpe,sleep: number of hours on average week night,sleep: number of hours on average week night,['Sleep Duration'],['No Specific Test']
418,,ELSA,sctsyh,what time did you go to sleep yesteday? hours,what time did you go to sleep yesteday? hours,['Sleep Onset'],['No Specific Test']
494,,ELSA,slesk,sleep been disturbed by itching or scratching,sleep been disturbed by itching or scratching,['Sleep Difficulty'],['No Specific Test']
516,,ELSA,heslpb,How often do you wake up several times in the night?,sleep: frequency wake up several times at night,['Sleep Latency and Waking'],['No Specific Test']
530,,ELSA,sctsyh,time respondent went to sleep yesterday (hours),time respondent went to sleep yesterday (hours),['Sleep Onset'],['No Specific Test']
592,,ELSA,sctsyp,what time did you go to sleep yesteday? am or pm,what time did you go to sleep yesteday? am or pm,['Sleep Onset'],['No Specific Test']
597,,ELSA,sctsym,time respondent went to sleep yesterday (minutes),time respondent went to sleep yesterday (minutes),['Sleep Onset'],['No Specific Test']
616,,ELSA,sctsym,what time did you go to sleep yesteday? minutes,what time did you go to sleep yesteday? minutes,['Sleep Onset'],['No Specific Test']
622,,ELSA,heslpd,How often do you wake up after your usual amount of sleep feeling tired and worn out?, sleep: frequency wake up feeling tired & worn out,"['Daytime Sleepiness', 'Sleep Latency and Waking', 'Sleep Quality']",['No Specific Test']
621,,ELSA,heslpd,How often do you wake up after your usual amount of sleep feeling tired and worn out?,sleep: frequency wake up feeling tired & worn out,"['Daytime Sleepiness', 'Sleep Latency and Waking', 'Sleep Quality']",['No Specific Test']
657,,ELSA,heslpx,How often do you doze off or take a nap during the morning or afternoon?,sleep: frequency doze off/nap in morning or afternoon,['Daytime Sleepiness'],['No Specific Test']
659,,ELSA,cortcar,cortisol awakening response (only if interval le 45 min),cortisol awakening response (only if interval le 45 min),['Uncategorized'],['No Specific Test']
667,,ELSA,sctsyp,time respondent went to sleep yesterday (am/pm),time respondent went to sleep yesterday (am/pm),['Sleep Duration'],['No Specific Test']
671,,ELSA,q20m,how frequently did you wake up with a full erection during the past month?,how frequently did you wake up with a full erection during the past month?,['Physical Health and Sleep'],['No Specific Test']
677,,ELSA,scsytime,derived: time respondent went to sleep yesterday - 24 hour clock,derived: time respondent went to sleep yesterday - 24 hour clock,['Sleep Onset'],['No Specific Test']
738,,ELSA,sctwum,what time did you wake up yesterday? minutes,what time did you wake up yesterday? minutes,['Sleep Latency and Waking'],['No Specific Test']
739,,ELSA,sctwuh,what time did you wake up yesterday? hours,what time did you wake up yesterday? hours,['Sleep Latency and Waking'],['No Specific Test']
740,,ELSA,sctwap,what time did you wake up yesterday? am or pm,what time did you wake up yesterday? am or pm,['Sleep Latency and Waking'],['No Specific Test']
354,,EPIC,SLEEP_TIME_FU2,"on average, how many hours do you sleep in a 24 hour period? (fu2)","on average, how many hours do you sleep in a 24 hour period? (fu2)",['Sleep Duration'],['No Specific Test']
355,,EPIC,SLEEP_TIME_FU3,"on average, how many hours do you sleep in a 24 hour period? (fu3)","on average, how many hours do you sleep in a 24 hour period? (fu3)",['Sleep Duration'],['No Specific Test']
410,,EPIC,SLEEP_PROBS_FU3,symptoms at the time of menopause: difficulty in sleeping (women only) (fu3),symptoms at the time of menopause: difficulty in sleeping (women only) (fu3),['Sleep Difficulty'],['No Specific Test']
449,,EPIC,DURSLEEPWKEND_3HC,duration of sleeping on weekend (epaq 3hc),duration of sleeping on weekend (epaq 3hc),['Sleep Duration'],['No Specific Test']
456,,EPIC,DURSLEEPWKEND_2HC,duration of sleeping on weekend (epaq 2hc),duration of sleeping on weekend (epaq 2hc),['Sleep Duration'],['No Specific Test']
511,,EPIC,INSOMNIA_FU2,insomnia requiring treatment (fu2),insomnia requiring treatment (fu2),"['Sleep Disorders', 'Sleep Medications and Aids']",['No Specific Test']
524,,EPIC,INSOMNIA_FU3,other: insomnia requiring treatment (fu3),other: insomnia requiring treatment (fu3),"['Sleep Disorders', 'Sleep Medications and Aids']",['No Specific Test']
576,,EPIC,INSOMNIA_YEAR_FU2,insomnia requiring treatment: first date (year) (fu2),insomnia requiring treatment: first date (year) (fu2),"['Sleep Disorders', 'Sleep Medications and Aids']",['No Specific Test']
629,,EPIC,INSOMNIA_1HC,self reported insomnia requiring treatment (1hc hlqs),self reported insomnia requiring treatment (1hc hlqs),"['Sleep Disorders', 'Sleep Medications and Aids']",['No Specific Test']
712,,EPIC,INSOMNIA_AGE_1HC,self-reported age first diagnosed for insomnia (requiring treatment)(1hc hlqs),self-reported age first diagnosed for insomnia (requiring treatment)(1hc hlqs),"['Sleep Disorders', 'Sleep Medications and Aids']",['No Specific Test']
341,,EPIC,SAD_SLEEP_FU4,"during the time when you felt sad or depressed for at least 2 weeks, did you: have more trouble falling asleep than you usually do, or sleeping too much? (fu4)","during the time when you felt sad or depressed for at least 2 weeks, did you: have more trouble falling asleep than you usually do, or sleeping too much? (fu4)","['Sleep Difficulty', 'Sleep Latency and Waking']",['No Specific Test']
423,,EPIC,DURSLEEP_2HC,duration of sleeping: wkendsleep*2 wkdaysleep*5; (epaq 2hc),duration of sleeping: wkendsleep*2 wkdaysleep*5; (epaq 2hc),['Sleep Duration'],['No Specific Test']
433,,EPIC,DURSLEEPWKDAY_3HC,duration of sleeping on weekday (epaq 3hc),duration of sleeping on weekday (epaq 3hc),['Sleep Duration'],['No Specific Test']
441,,EPIC,DURSLEEPWKDAY_2HC,duration of sleeping on weekday (epaq 2hc),duration of sleeping on weekday (epaq 2hc),['Sleep Duration'],['No Specific Test']
493,,EPIC,SLEEP_WELL_FU2,do you generally sleep well? (fu2),do you generally sleep well? (fu2),['Sleep Quality'],['No Specific Test']
496,,EPIC,SLEEP_WELL_FU3,do you generally sleep well? (fu3),do you generally sleep well? (fu3),['Sleep Quality'],['No Specific Test']
558,,EPIC,NAP_FU2,do you normally take a nap during the day? (fu2),do you normally take a nap during the day? (fu2),['Daytime Sleepiness'],['No Specific Test']
561,,EPIC,NAP_FU3,do you normally take a nap during the day? (fu3),do you normally take a nap during the day? (fu3),['Daytime Sleepiness'],['No Specific Test']
631,,EPIC,SLEEPTIME_HLEQ2,minutes sleep per night on average (derived from question a5e ) (hleq2),minutes sleep per night on average (derived from question a5e ) (hleq2),['Sleep Duration'],['No Specific Test']
650,,EPIC,DURSLEEP_3HC,duration of sleep after assigning median to extreme values(epaq2_3hc),duration of sleep after assigning median to extreme values(epaq2_3hc),['Sleep Duration'],['No Specific Test']
160,,GS:SFHS,b2,had difficulty in staying asleep once you are off?,had difficulty in staying asleep once you are off?,"['Sleep Difficulty', 'Sleep Latency and Waking']",['No Specific Test']
517,,GS:SFHS,b1,lost much sleep over worry?,lost much sleep over worry?,['Mental Health and Sleep'],['No Specific Test']
406,,GS:SFHS,mdqa4,...you got much less sleep than usual and found you didnt really miss it?,...you got much less sleep than usual and found you didnt really miss it?,['Uncategorized'],['No Specific Test']
253,BJD,ICICLE,PSQI_Global,pittsberg sleep quality index total,pittsberg sleep quality index total,['Sleep Quality'],['PSQI']
364,BJD,ICICLE,Nocturia,"Intense, vivid dreams or frightening dreams","nms-quest 0=symptom absent, 1=symptom present",['Sleep Disorders'],['No Specific Test']
573,BJD,ICICLE,Nocturia Duration,nms-quest symptom duration in months,nms-quest symptom duration in months,['Sleep Disorders'],['No Specific Test']
627,BJD,ICICLE,EPWORTH_SS_total,epworth sleepiness scale total,epworth sleepiness scale total,['Daytime Sleepiness'],['Epworth Sleepiness Scale']
1,U,MRC,sleepu1_v2,sleep,sleep,['Uncategorized'],['No Specific Test']
33,U,MRC,psqi14x,pittsburgh sleep quality index (psqi): total score,pittsburgh sleep quality index (psqi): total score,['Sleep Quality'],['PSQI']
89,U,MRC,psqihse14x,"During the past month, how long (in minutes) has it usually taken you to fall asleep each night?",psqi: sleep efficiency,['Sleep Quality'],['PSQI']
109,U,MRC,pssle89,How often over the last year have you had trouble getting off to sleep? ,over the last year have you had trouble getting off to sleep?,"['Sleep Difficulty', 'Sleep Latency and Waking']",['No Specific Test']
117,U,MRC,pse3582,Have you had any trouble getting off to sleep during the past month? RATE DELAYED SLEEP,trouble getting off to sleep in past month,"['Sleep Difficulty', 'Sleep Latency and Waking']",['No Specific Test']
118,U,MRC,slcna,Do you have trouble with sleep?,trouble with sleep,['Sleep Difficulty'],['No Specific Test']
121,U,MRC,psqidistb14x,psqi: sleep disturbance,psqi: sleep disturbance,"['Sleep Quality', 'Sleep Difficulty']",['PSQI']
204,U,MRC,hrssle14x,"During the past month, how many hours of actual sleep did you get at night? (This may be different than the number of hours you spent in bed)","during the past month, how many hours of actual sleep did you get at night?",['Sleep Duration'],['No Specific Test']
205,U,MRC,ktwsl62,Do you have trouble with your sleep?,kind of trouble with sleep,['Sleep Difficulty'],['No Specific Test']
210,U,MRC,slcta,Do you have trouble with your sleep? [If yes] What sort of trouble do you have?,type of trouble with sleep,['Sleep Difficulty'],['No Specific Test']
247,U,MRC,psqislpqual14x,"During the past month, how would you rate your sleep quality overall?",psqi: overall sleep quality,['Sleep Quality'],['PSQI']
263,U,MRC,slmedi14x,"During the past month, how often have you taken medicine to help you sleep (prescribed or ""over the counter"")?","during the past month, how often have you taken medicine to help you sleep?",['Sleep Medications and Aids'],['No Specific Test']
264,U,MRC,psqidurat14x,"During the past month, how many hours of actual sleep did you get at night? (This may be different than the number of hours you spent in bed)",psqi: sleep duration,['Sleep Duration'],['PSQI']
302,U,MRC,slqual14x,"During the past month, how would you rate your sleep quality overall?","during the past month, how would you rate your sleep quality overall?",['Sleep Quality'],['No Specific Test']
419,U,MRC,slcn,Do you have trouble with your sleep? [If yes] What sort of trouble do you have?,number of sleep complaints,['Sleep Difficulty'],['No Specific Test']
542,U,MRC,psqimeds14x,"During the past month, how often have you taken medicine to help you sleep (prescribed or ""over the counter"")?",psqi: needs medications to sleep,['Sleep Medications and Aids'],['PSQI']
581,U,MRC,ghq0809,Lost much sleep over worry?,ghq: lost much sleep over worry,['Mental Health and Sleep'],['GHQ']
635,U,MRC,ghq0899,have you recently lost much sleep over worry?,have you recently lost much sleep over worry?,['Mental Health and Sleep'],['GHQ']
334,U,MRC,psqilaten14x,"During the past month, how long (in minutes) has it usually taken you to fall asleep each night?",psqi: sleep latency,['Sleep Latency and Waking'],['PSQI']
343,U,MRC,sprob77,During the last month or so have you been having any trouble with your sleep? If 'yes' What sort of trouble have you had?,"types of trouble with sleep. if 2 types noted, code both, eg trouble 1 'difficulty getting to sleep' and 2 'waking up in the night' = 12","['Sleep Difficulty', 'Sleep Latency and Waking']",['No Specific Test']
391,U,MRC,slct,Do you have trouble with your sleep? [If yes] What sort of trouble do you have?,type of sleep complaints,['Sleep Difficulty'],['No Specific Test']
413,U,MRC,nig5657,"During the last year, have you or any member of your household ever had to go to this child because of his nightmares or disturbed sleep?",nightmares or disturbed sleep during past year (asked at 11 years),"['Sleep Difficulty', 'Dreams']",['No Specific Test']
420,U,MRC,pswak89,over the last year have you had trouble with waking up and not being able to get back to sleep?,over the last year have you had trouble with waking up and not being able to get back to sleep?,"['Sleep Difficulty', 'Sleep Latency and Waking']",['No Specific Test']
427,U,MRC,sldurat14x,derived sleep duration [difference between sleep and wake times] (hours),derived sleep duration [difference between sleep and wake times] (hours),['Sleep Duration'],['No Specific Test']
531,U,MRC,actstshr0610,sleep hr (beats/min) [value used for step test analysis],sleep hr (beats/min) [value used for step test analysis],['Physical Health and Sleep'],['No Specific Test']
547,U,MRC,sla6,does child sleep in room alone or with others?,does child sleep in room alone or with others?,['Sleep Environment'],['No Specific Test']
555,U,MRC,bedw71,in the winter do you usually sleep with your bedroom windows open?,in the winter do you usually sleep with your bedroom windows open?,['Sleep Environment'],['No Specific Test']
559,U,MRC,mp19,i often have ideas running through my head so that i cannot sleep,i often have ideas running through my head so that i cannot sleep,['Mental Health and Sleep'],['No Specific Test']
583,U,MRC,nig5152,"During the last year, have you or any member of your household ever had to go to this child because of his nightmares or disturbed sleep?",nightmares or disturbed sleep during past year (asked at 6 years) number of times any member of household has gone to child,"['Sleep Difficulty', 'Dreams', 'Sleep Environment']",['No Specific Test']
633,U,MRC,sla4,does child sleep in room by himself or with others?,does child sleep in room by himself or with others?,['Sleep Environment'],['No Specific Test']
638,U,MRC,actshr0610,sleep hr (beats/min),sleep hr (beats/min),['Physical Health and Sleep'],['No Specific Test']
672,U,MRC,ktws62,kind of trouble with sleep (summary code) - values 26-56 are all multiple punched but exact responses not known,kind of trouble with sleep (summary code) - values 26-56 are all multiple punched but exact responses not known,['Sleep Difficulty'],['No Specific Test']
715,U,MRC,cw1_ghq122,post-c19: ghq12- whether lost much sleep over worry,post-c19: ghq12- whether lost much sleep over worry,['Mental Health and Sleep'],['GHQ']
8,,NICOLA,CESDQ11,my sleep was restless,my sleep was restless,['Sleep Difficulty'],['CESD']
36,,NICOLA,Q83m,trouble falling or staying asleep,trouble falling or staying asleep,['Sleep Latency and Waking'],['No Specific Test']
445,,NICOLA,BH203f_hours,bh203f_hours - amount of sleep - hours :,bh203f_hours - amount of sleep - hours :,['Sleep Duration'],['No Specific Test']
512,,NICOLA,TotalMinutesSleepDaily,total minutes sleep daily,total minutes sleep daily,['Sleep Duration'],['No Specific Test']
518,,NICOLA,Q25,lost much sleep over worry,lost much sleep over worry,['Mental Health and Sleep'],['No Specific Test']
344,,NICOLA,Q54,"in the last 30 days, how much difficulty have you had with sleeping, such as falling asleep, waking up frequently during the night or waking up too early in the morning","in the last 30 days, how much difficulty have you had with sleeping, such as falling asleep, waking up frequently during the night or waking up too early in the morning","['Sleep Difficulty', 'Sleep Latency and Waking']",['No Specific Test']
457,,NICOLA,BH203e,bh203e - do you take any medication (over the counter or prescribed) to help you sleep?,bh203e - do you take any medication (over the counter or prescribed) to help you sleep?,['Sleep Medications and Aids'],['No Specific Test']
508,,NICOLA,BH203c,bh203c - how often in the past month did you have trouble staying asleep (including waking far too early)?,bh203c - how often in the past month did you have trouble staying asleep (including waking far too early)?,"['Sleep Difficulty', 'Sleep Latency and Waking']",['No Specific Test']
578,,NICOLA,BH203d,bh203d - how often in the past month did you wake up after your usual amount of sleep feeling tired and worn out?,bh203d - how often in the past month did you wake up after your usual amount of sleep feeling tired and worn out?,"['Daytime Sleepiness', 'Sleep Quality']",['No Specific Test']
588,,NICOLA,bh201,bh201 - how likely are you to doze off or fall asleep during the day?,bh201 - how likely are you to doze off or fall asleep during the day?,['Daytime Sleepiness'],['No Specific Test']
589,,NICOLA,bh203,bh203 - how often in the past month have you had trouble with waking up too early and not being able to fall asleep again?,bh203 - how often in the past month have you had trouble with waking up too early and not being able to fall asleep again?,"['Sleep Difficulty', 'Sleep Latency and Waking']",['No Specific Test']
611,,NICOLA,BH203f_minutes,bh203f_minutes - amount of sleep - minutes :,bh203f_minutes - amount of sleep - minutes :,['Sleep Duration'],['No Specific Test']
632,,NICOLA,PH308,ph308 - does your arthritis make it difficult for you to sleep at night?,ph308 - does your arthritis make it difficult for you to sleep at night?,['Physical Health and Sleep'],['No Specific Test']
742,,NICOLA,BH203b,bh203b - how often in the past month did you wake up several times per night?,bh203b - how often in the past month did you wake up several times per night?,"['Sleep Duration', 'Sleep Latency and Waking']",['No Specific Test']
63,,NIMROD,Disturbed sleep,Sleep is disturbed at night.,disturbed sleep,['Sleep Difficulty'],['No Specific Test']
81,,NIMROD,Day sleep,Sleeps more by day than before (cat naps etc.),day sleep,['Daytime Sleepiness'],['No Specific Test']
587,,SMC,X17SleepDis,x17sleepdis,x17sleepdis,['Uncategorized'],['No Specific Test']
159,,Whitehall,ZSYMP11,q17k difficulty sleeping last 14 days? (s2),q17k difficulty sleeping last 14 days? (s2),['Sleep Difficulty'],['No Specific Test']
161,,Whitehall,SYMP11,q19k difficulty sleeping in last 14 days (s1),q19k difficulty sleeping in last 14 days (s1),['Sleep Difficulty'],['No Specific Test']
163,,Whitehall,XSYMP11,q15k difficulty sleeping in last 14 dys? (s3),q15k difficulty sleeping in last 14 dys? (s3),['Sleep Difficulty'],['No Specific Test']
164,,Whitehall,MSYMP11,q74k difficulty sleeping in last 2 wks (s7),q74k difficulty sleeping in last 2 wks (s7),['Sleep Difficulty'],['No Specific Test']
267,,Whitehall,MSYMSLP,q79d do you experience sleep disturbance (s7),q79d do you experience sleep disturbance (s7),['Sleep Difficulty'],['No Specific Test']
268,,Whitehall,KSLPDIST,q73e last mth- disturbed sleep (s8),q73e last mth- disturbed sleep (s8),['Sleep Difficulty'],['No Specific Test']
269,,Whitehall,MSLPDIST,q73e disturbed/restless sleep in last 4 wks (s7),q73e disturbed/restless sleep in last 4 wks (s7),['Sleep Difficulty'],['No Specific Test']
306,,Whitehall,MSLPFALL,q73a trouble falling asleep in last 4 wks (s7),q73a trouble falling asleep in last 4 wks (s7),"['Sleep Difficulty', 'Sleep Latency and Waking']",['No Specific Test']
317,,Whitehall,KSLPFALL,q73a last mth- trouble falling asleep (s,q73a last mth- trouble falling asleep (s,"['Sleep Difficulty', 'Sleep Latency and Waking']",['No Specific Test']
