master_id,who,Cohort,Cohort_Var_Name,Full_Description,Cohort_Var_Description,Consensus Category,Test Categories
169,BJD,CamCAN,SP13,"during the past month, how often have you had trouble sleeping because you:- have pain","during the past month, how often have you had trouble sleeping because you:- have pain","['Sleep Difficulty', 'Physical Health and Sleep']",['No Specific Test']
174,BJD,CamCAN,SP7,"during the past month, how often have you had trouble sleeping because you:- have to get up to use the bathroom","during the past month, how often have you had trouble sleeping because you:- have to get up to use the bathroom",['Sleep Difficulty'],['No Specific Test']
250,BJD,CamCAN,SP10,"during the past month, how often have you had trouble sleeping because you:- feel too cold","during the past month, how often have you had trouble sleeping because you:- feel too cold","['Sleep Difficulty', 'Sleep Environment']",['No Specific Test']
252,BJD,CamCAN,SP11,"during the past month, how often have you had trouble sleeping because you:- feel too hot","during the past month, how often have you had trouble sleeping because you:- feel too hot","['Sleep Difficulty', 'Sleep Environment']",['No Specific Test']
255,BJD,CamCAN,SP14,"during the past month, how often have you had trouble sleeping because you:- any other reasons, and if so how often?","during the past month, how often have you had trouble sleeping because you:- any other reasons, and if so how often?",['Sleep Difficulty'],['No Specific Test']
300,BJD,CamCAN,SP16,during the past month how would you rate your sleep quality overall?,during the past month how would you rate your sleep quality overall?,['Sleep Quality'],['No Specific Test']
361,BJD,CamCAN,SP4,"during the past month, how many hours of actual sleep did you get at night? (this may be different than the number of hours you spend in bed)","during the past month, how many hours of actual sleep did you get at night? (this may be different than the number of hours you spend in bed)",['Sleep Duration'],['No Specific Test']
431,BJD,CamCAN,SP17,"during the past month, how often have you taken medicine (prescribed or over the counter) to help you sleep?","during the past month, how often have you taken medicine (prescribed or over the counter) to help you sleep?",['Sleep Medications and Aids'],['No Specific Test']
444,BJD,CamCAN,EPAQ_001,average daily sleep time (hours) during the week,average daily sleep time (hours) during the week,['Sleep Duration'],['No Specific Test']
455,BJD,CamCAN,SP18,"during the past month, how often have you had trouble staying awake while driving, eating meals, or engaging in social activity?","during the past month, how often have you had trouble staying awake while driving, eating meals, or engaging in social activity?",['Daytime Sleepiness'],['No Specific Test']
504,BJD,CamCAN,SP2,"during the past month, how long (in minutes) has it usually taken you to fall asleep each night?","during the past month, how long (in minutes) has it usually taken you to fall asleep each night?",['Sleep Latency and Waking'],['No Specific Test']
529,BJD,CamCAN,EPAQ_002,average daily sleep time (hours) during the weekend,average daily sleep time (hours) during the weekend,['Sleep Duration'],['No Specific Test']
630,BJD,CamCAN,EPAQ_035,"time spent sedentary, excluding sleep [hrs/d]","time spent sedentary, excluding sleep [hrs/d]",['Uncategorized'],['No Specific Test']
660,BJD,CamPaIGN,Epworth Sleepiness Scale (X),How likely are you to doze off or fall asleep in the following situations?,epworth sleepiness scale score at visit x,['Daytime Sleepiness'],['Epworth Sleepiness Scale']
65,BJD,CaPS,T0552 C5 CA Investigations IQcode IR,[c5 ca personality] sleep pattern disturbance ,[c5 ca personality] sleep pattern disturbance ,['Sleep Difficulty'],['No Specific Test']
165,BJD,CaPS,c3sleeptablets,[c3 sleep disturbance q16] do you take sleeping tables? ,[c3 sleep disturbance q16] do you take sleeping tables? ,"['Sleep Difficulty', 'Sleep Medications and Aids']",['No Specific Test']
259,BJD,CaPS,c3backtosleepdifficulty,[c3 sleep disturbance q11b] wake up during the night and have a hard time getting back to sleep? ,[c3 sleep disturbance q11b] wake up during the night and have a hard time getting back to sleep? ,"['Sleep Difficulty', 'Sleep Latency and Waking']",['No Specific Test']
304,BJD,CaPS,c3notfeelrested,"[c3 sleep disturbance q11d] not feel rested during the day, no matter how many hours of sleep you had? ","[c3 sleep disturbance q11d] not feel rested during the day, no matter how many hours of sleep you had? ","['Sleep Quality', 'Daytime Sleepiness']",['No Specific Test']
356,BJD,CaPS,c1troublesleeping,[c1 clinic interview q23c4c] personality: are you: have trouble sleeping or falling asleep ,[c1 clinic interview q23c4c] personality: are you: have trouble sleeping or falling asleep ,"['Sleep Difficulty', 'Sleep Latency and Waking']",['No Specific Test']
408,BJD,CaPS,c3bothersometwitches,[c3 sleep disturbance q11e] restless legs or borthersome twiches? ,[c3 sleep disturbance q11e] restless legs or borthersome twiches? ,"['Sleep Difficulty', 'Sleep Disorders']",['No Specific Test']
