"","Cohort","Full_Description","Consensus.Category","Test.Categories","cluster"
"307","NICOLA","bh203c - how often in the past month did you have trouble staying asleep (including waking far too early)?","Sleep Difficulty","['No Specific Test']","5"
"308","NICOLA","bh203c - how often in the past month did you have trouble staying asleep (including waking far too early)?","Sleep Latency and Waking","['No Specific Test']","5"
"309","NICOLA","bh203d - how often in the past month did you wake up after your usual amount of sleep feeling tired and worn out?","Daytime Sleepiness","['No Specific Test']","5"
"310","NICOLA","bh203d - how often in the past month did you wake up after your usual amount of sleep feeling tired and worn out?","Sleep Quality","['No Specific Test']","5"
"311","NICOLA","bh201 - how likely are you to doze off or fall asleep during the day?","Daytime Sleepiness","['No Specific Test']","5"
"312","NICOLA","bh203 - how often in the past month have you had trouble with waking up too early and not being able to fall asleep again?","Sleep Difficulty","['No Specific Test']","5"
"313","NICOLA","bh203 - how often in the past month have you had trouble with waking up too early and not being able to fall asleep again?","Sleep Latency and Waking","['No Specific Test']","5"
"314","NICOLA","bh203f_minutes - amount of sleep - minutes :","Sleep Duration","['No Specific Test']","1"
"315","NICOLA","ph308 - does your arthritis make it difficult for you to sleep at night?","Physical Health and Sleep","['No Specific Test']","5"
"316","NICOLA","bh203b - how often in the past month did you wake up several times per night?","Sleep Duration","['No Specific Test']","5"
"317","NICOLA","bh203b - how often in the past month did you wake up several times per night?","Sleep Latency and Waking","['No Specific Test']","5"
"318","NIMROD","Sleep is disturbed at night.","Sleep Difficulty","['No Specific Test']","5"
"319","NIMROD","Sleeps more by day than before (cat naps etc.)","Daytime Sleepiness","['No Specific Test']","2"
"320","SMC","x17sleepdis","Uncategorized","['No Specific Test']","3"
"321","Whitehall","q17k difficulty sleeping last 14 days? (s2)","Sleep Difficulty","['No Specific Test']","1"
"322","Whitehall","q19k difficulty sleeping in last 14 days (s1)","Sleep Difficulty","['No Specific Test']","1"
"323","Whitehall","q15k difficulty sleeping in last 14 dys? (s3)","Sleep Difficulty","['No Specific Test']","1"
"324","Whitehall","q74k difficulty sleeping in last 2 wks (s7)","Sleep Difficulty","['No Specific Test']","1"
"325","Whitehall","q79d do you experience sleep disturbance (s7)","Sleep Difficulty","['No Specific Test']","5"
"326","Whitehall","q73e last mth- disturbed sleep (s8)","Sleep Difficulty","['No Specific Test']","1"
"327","Whitehall","q73e disturbed/restless sleep in last 4 wks (s7)","Sleep Difficulty","['No Specific Test']","4"
"328","Whitehall","q73a trouble falling asleep in last 4 wks (s7)","Sleep Difficulty","['No Specific Test']","4"
"329","Whitehall","q73a trouble falling asleep in last 4 wks (s7)","Sleep Latency and Waking","['No Specific Test']","4"
"330","Whitehall","q73a last mth- trouble falling asleep (s","Sleep Difficulty","['No Specific Test']","4"
"331","Whitehall","q73a last mth- trouble falling asleep (s","Sleep Latency and Waking","['No Specific Test']","4"
"332","Whitehall","q56a last mth- trouble falling asleep (s","Sleep Difficulty","['No Specific Test']","4"
"333","Whitehall","q56a last mth- trouble falling asleep (s","Sleep Latency and Waking","['No Specific Test']","4"
"334","Whitehall","q2.64a trouble falling asleep (s5)","Sleep Difficulty","['No Specific Test']","4"
"335","Whitehall","q2.64a trouble falling asleep (s5)","Sleep Latency and Waking","['No Specific Test']","4"
"336","Whitehall","q61 breathing pauses during sleep (s9)","Sleep Disorders","['No Specific Test']","1"
"337","Whitehall","how many hours sleep do you have on an average week night?","Sleep Duration","['No Specific Test']","5"
"338","Whitehall","q54 recent lost much sleep? (s2)","Sleep Difficulty","['GHQ']","3"
"339","Whitehall","q25 lost sleep by worry (s9)","Sleep Difficulty","['GHQ']","3"
"340","Whitehall","q25 lost sleep by worry (s9)","Mental Health and Sleep","['GHQ']","3"
"341","Whitehall","q42 lost sleep by worry (s8)","Sleep Difficulty","['GHQ']","3"
"342","Whitehall","q42 lost sleep by worry (s8)","Mental Health and Sleep","['GHQ']","3"
"343","Whitehall","q23 lost sleep by worry (s11)","Sleep Difficulty","['GHQ']","3"
"344","Whitehall","q23 lost sleep by worry (s11)","Mental Health and Sleep","['GHQ']","3"
"345","Whitehall","q56 hours sleep on avg wk-night (s12)","Sleep Duration","['No Specific Test']","3"
"346","Whitehall","q55 hours sleep on avg wk-night (s11)","Sleep Duration","['No Specific Test']","3"
"347","Whitehall","q81 recently lost much sleep (s1)","Sleep Difficulty","['GHQ']","3"
"348","Whitehall","q88 recently lost much sleep? (s3)","Sleep Difficulty","['GHQ']","3"
"349","Whitehall","q23 recently lost sleep by worry (s6)","Sleep Difficulty","['GHQ']","3"
"350","Whitehall","q23 recently lost sleep by worry (s6)","Mental Health and Sleep","['GHQ']","3"
"351","Whitehall","q42 recently lost sleep due to worry (s7)","Sleep Difficulty","['GHQ']","3"
"352","Whitehall","q42 recently lost sleep due to worry (s7)","Mental Health and Sleep","['GHQ']","3"
"353","Whitehall","q2.34 recently lost sleep by worry (s5)","Sleep Difficulty","['GHQ']","3"
"354","Whitehall","q2.34 recently lost sleep by worry (s5)","Mental Health and Sleep","['GHQ']","3"
"355","Whitehall","q56e last mth- disturbed sleep (s9)","Sleep Difficulty","['No Specific Test']","1"
"356","Whitehall","q57e last mth- disturbed sleep (s12)","Sleep Difficulty","['No Specific Test']","1"
"357","Whitehall","q26d suffer menop sleep disturbance? (s4)","Sleep Difficulty","['No Specific Test']","1"
"358","Whitehall","q26d suffer menop sleep disturbance? (s4)","Physical Health and Sleep","['No Specific Test']","1"
"359","Whitehall","q57a last mth- trouble falling asleep (s12)","Sleep Difficulty","['No Specific Test']","4"
"360","Whitehall","q57a last mth- trouble falling asleep (s12)","Sleep Latency and Waking","['No Specific Test']","4"
"361","Whitehall","q29d suffer menop sleep disturbance? (s3)","Sleep Difficulty","['No Specific Test']","1"
"362","Whitehall","q29d suffer menop sleep disturbance? (s3)","Physical Health and Sleep","['No Specific Test']","1"
"363","Whitehall","q56a last mth- trouble falling asleep (s11)","Sleep Difficulty","['No Specific Test']","4"
"364","Whitehall","q56a last mth- trouble falling asleep (s11)","Sleep Latency and Waking","['No Specific Test']","4"
"365","Whitehall","q73c cannot stay asleep in last 4 wks (s7)","Sleep Difficulty","['No Specific Test']","4"
"366","Whitehall","q73c cannot stay asleep in last 4 wks (s7)","Sleep Latency and Waking","['No Specific Test']","4"
"367","Whitehall","q57a sleep- nap during day (s11)","Daytime Sleepiness","['No Specific Test']","1"
"368","Whitehall","q58a sleep- nap during day (s12)","Daytime Sleepiness","['No Specific Test']","1"
"369","Whitehall","q73c last mth- cannot stay asleep (s8)","Sleep Difficulty","['No Specific Test']","4"
"370","Whitehall","q73c last mth- cannot stay asleep (s8)","Sleep Latency and Waking","['No Specific Test']","4"
"371","Whitehall","q3.8d menopausal sleep disturb (s5)","Sleep Difficulty","['No Specific Test']","1"
"372","Whitehall","q3.8d menopausal sleep disturb (s5)","Physical Health and Sleep","['No Specific Test']","1"
"373","Whitehall","q56c last mth- cannot stay asleep (s9)","Sleep Difficulty","['No Specific Test']","4"
"374","Whitehall","q56c last mth- cannot stay asleep (s9)","Sleep Latency and Waking","['No Specific Test']","4"
"375","Whitehall","q36d suffer menopausal sleep disturbance (s1)","Sleep Difficulty","['No Specific Test']","1"
"376","Whitehall","q36d suffer menopausal sleep disturbance (s1)","Physical Health and Sleep","['No Specific Test']","1"
"377","Whitehall","q2.64c cannot stay asleep (s5)","Sleep Difficulty","['No Specific Test']","4"
"378","Whitehall","q2.64c cannot stay asleep (s5)","Sleep Latency and Waking","['No Specific Test']","4"
"379","Whitehall","q57c last mth- cannot stay asleep (s12)","Sleep Difficulty","['No Specific Test']","4"
"380","Whitehall","q57c last mth- cannot stay asleep (s12)","Sleep Latency and Waking","['No Specific Test']","4"
"381","Whitehall","q64 fallen asleep whilst driving (s9)","Daytime Sleepiness","['No Specific Test']","4"
"382","Whitehall","q58 snoring description (s9)","Sleep Disorders","['No Specific Test']","1"
"383","Whitehall","q57c sleep - length of nap during day (s11)","Sleep Duration","['No Specific Test']","1"
"384","Whitehall","q57c sleep - length of nap during day (s11)","Daytime Sleepiness","['No Specific Test']","1"
"385","Whitehall","q58c sleep - length of nap during day (s12)","Sleep Duration","['No Specific Test']","1"
"386","Whitehall","q58c sleep - length of nap during day (s12)","Daytime Sleepiness","['No Specific Test']","1"
"387","Whitehall","q72 week-night average hours of sleep (s7)","Sleep Duration","['No Specific Test']","1"
"388","Whitehall","q57b sleep - frecuency nap during day (s11)","Daytime Sleepiness","['No Specific Test']","1"
"389","Whitehall","q58b sleep - frecuency nap during day (s12)","Daytime Sleepiness","['No Specific Test']","1"
"390","Whitehall","q73b increased alc: get to sleep (s11)","Sleep Medications and Aids","['No Specific Test']","1"
"391","Whitehall","q73b increased alc: get to sleep (s11)","Alcohol Related","['No Specific Test']","1"
"392","Whitehall","q101k cesd q11- sleep (s9)","Uncategorized","['CESD']","3"
"393","Whitehall","q73b wake up several times in last 4 wks (s7)","Sleep Quality","['No Specific Test']","4"
"394","Whitehall","q73b wake up several times in last 4 wks (s7)","Sleep Latency and Waking","['No Specific Test']","4"
"395","Whitehall","q73b last mth- wake several times (s8)","Sleep Quality","['No Specific Test']","4"
"396","Whitehall","q73b last mth- wake several times (s8)","Sleep Latency and Waking","['No Specific Test']","4"
"397","Whitehall","q56b last mth- wake several times (s9)","Sleep Quality","['No Specific Test']","4"
"398","Whitehall","q56b last mth- wake several times (s9)","Sleep Latency and Waking","['No Specific Test']","4"
"399","Whitehall","q2.64b wake several times (s5)","Sleep Quality","['No Specific Test']","4"
"400","Whitehall","q2.64b wake several times (s5)","Sleep Latency and Waking","['No Specific Test']","4"
"401","Whitehall","q57b last mth- wake several times (s12)","Sleep Quality","['No Specific Test']","4"
"402","Whitehall","q57b last mth- wake several times (s12)","Sleep Latency and Waking","['No Specific Test']","4"
"403","Whitehall","q73d wake as usual but tired in last 4 wks (s7)","Daytime Sleepiness","['No Specific Test']","4"
"404","Whitehall","q73d wake as usual but tired in last 4 wks (s7)","Sleep Quality","['No Specific Test']","4"
"405","Whitehall","q73d last mth- wake as usual but tired (s8)","Daytime Sleepiness","['No Specific Test']","4"
"406","Whitehall","q73d last mth- wake as usual but tired (s8)","Sleep Quality","['No Specific Test']","4"
"407","Whitehall","q56d last mth- wake as usual but tired (","Daytime Sleepiness","['No Specific Test']","4"
"408","Whitehall","q56d last mth- wake as usual but tired (","Sleep Quality","['No Specific Test']","4"
"409","Whitehall","q57d last mth- wake as usual but tired (s12)","Daytime Sleepiness","['No Specific Test']","4"
"410","Whitehall","q57d last mth- wake as usual but tired (s12)","Sleep Quality","['No Specific Test']","4"
"411","Whitehall","q2.64d wake as usual but tired (s5)","Daytime Sleepiness","['No Specific Test']","4"
"412","Whitehall","q2.64d wake as usual but tired (s5)","Sleep Quality","['No Specific Test']","4"
