"","Cohort","Full_Description","Consensus.Category","Test.Categories","cluster"
"87","CaPS","[c3 sleep disturbance q11e] restless legs or borthersome twiches? ","Sleep Difficulty","['No Specific Test']","3"
"88","CaPS","[c3 sleep disturbance q11e] restless legs or borthersome twiches? ","Sleep Disorders","['No Specific Test']","3"
"89","CaPS","[c3 general health q3] have you recently been having restless disturbed nights? ","Sleep Difficulty","['No Specific Test']","5"
"90","CaPS","[c2 home & work environment q21] how many months a year do you sleep with your bedroom window open? ","Sleep Environment","['No Specific Test']","5"
"91","CaPS","[c2 home & work environment q29] does traffic noise wake you up? ","Sleep Environment","['No Specific Test']","5"
"92","CaPS","[c2 home & work environment q29] does traffic noise wake you up? ","Sleep Latency and Waking","['No Specific Test']","5"
"93","CaPS","[c3 general health q8] have you recently been satisfied with the way youve carried out your task? ","Uncategorized","['No Specific Test']","5"
"94","CaPS","[c2 home & work environment q28] does traffic noise make it difficult for you to fall asleep? ","Sleep Environment","['No Specific Test']","5"
"95","CaPS","[c2 home & work environment q28] does traffic noise make it difficult for you to fall asleep? ","Sleep Latency and Waking","['No Specific Test']","5"
"96","CaPS","[c3 sleep disturbance q1] today, do you feel? ","Uncategorized","['No Specific Test']","5"
"97","CaPS","[c3 sleep disturbance] the card number in this case 9","Uncategorized","['No Specific Test']","3"
"98","CaPS","[c3 sleep disturbance] the file number as recorded on card 9","Uncategorized","['No Specific Test']","3"
"99","CaPS","[c3 sleep disturbance q2] have you ever been told you snore? ","Sleep Disorders","['No Specific Test']","5"
"100","CaPS","[c3 sleep disturbance q11a] difficulty in getting to sleep? ","Sleep Difficulty","['No Specific Test']","1"
"101","CaPS","[c3 sleep disturbance q11a] difficulty in getting to sleep? "," Sleep Latency and Waking","['No Specific Test']","1"
"102","CaPS","[c3 sleep disturbance q4] how loud have others said your snoring is? ","Sleep Difficulty","['No Specific Test']","5"
"103","CaPS","[c3 sleep disturbance q4] how loud have others said your snoring is? ","Sleep Environment","['No Specific Test']","5"
"104","CaPS","[c3 sleep disturbance q11f] feelings of excessive sleepiness during the day? ","Daytime Sleepiness","['No Specific Test']","1"
"105","CaPS","[c3 sleep disturbance q13a] how many hours of sleep do you usually get in a workday night?","Sleep Duration","['No Specific Test']","5"
"106","CaPS","[c3 sleep disturbance q14] how often do you take a nap during the day or early evening? ","Daytime Sleepiness","['No Specific Test']","5"
"107","CaPS","[c3 sleep disturbance q11c] wake up repeatly during the night? ","Sleep Difficulty","['No Specific Test']","0"
"108","CaPS","[c3 sleep disturbance q11c] wake up repeatly during the night? ","Sleep Latency and Waking","['No Specific Test']","0"
"109","CaPS","[c3 sleep disturbance q13b] how many hours of sleep do you usually get in a weekend or non-work night?","Sleep Duration","['No Specific Test']","5"
"110","CaPS","[c3 sleep disturbance q10] do you kick or make other disruptive movements during sleep? ","Sleep Disorders","['No Specific Test']","5"
"111","CaPS","[c3 sleep disturbance q3] according to others, please estimate how often you snore? ","Sleep Disorders","['No Specific Test']","5"
"112","CaPS","[c3 sleep disturbance] the unique number allocated to each subject in the study as recorded on card 9","Uncategorized","['No Specific Test']","3"
"113","CaPS","[c3 sleep disturbance q9] how often do you seem to have momentary periods in your sleep when you breath abnormally? ","Sleep Disorders","['No Specific Test']","5"
"114","CaPS","[c3 sleep disturbance q7] according to others how often do you gasp, choke or make snorting sounds during sleep? ","Sleep Disorders","['No Specific Test']","5"
"115","CaPS","[c3 sleep disturbance q12] approximately how many minutes does it usually take you to fall asleep at night?","Sleep Latency and Waking","['No Specific Test']","5"
"116","CaPS","[c1 clinic interview q23c2g] personality: are you: do you have great difficulty in falling or staying asleep? ","Sleep Difficulty","['No Specific Test']","5"
"117","CaPS","[c1 clinic interview q23c2g] personality: are you: do you have great difficulty in falling or staying asleep? ","Sleep Latency and Waking","['No Specific Test']","5"
"118","CaPS","[c3 sleep disturbance] date of birth of the subject in format dd/mm/yyyy from card 9","Uncategorized","['No Specific Test']","4"
"119","CaPS","[c3 sleep disturbance q5] based on what others have told you, for about how many years do you think you have snored?","Sleep Disorders","['No Specific Test']","5"
"120","CaPS","[c3 sleep disturbance] original text version of date of birth of the subject in format ddmmyy from card 9","Uncategorized","['No Specific Test']","4"
"121","CaPS","[c3 sleep disturbance q11g] nasal congestion, obstruction, or discharge at night? ","Physical Health and Sleep","['No Specific Test']","1"
"122","CaPS","[c3 sleep disturbance q15] do you have any allergies like hay fever that cause congestion? ","Physical Health and Sleep","['No Specific Test']","5"
"123","CaPS","[c3 sleep disturbance q11i] need for coffee or other stimulants to stay awake during the day? ","Daytime Sleepiness","['No Specific Test']","1"
"124","CaPS","[c5 self completion quest q45] how often do you kick or make other disruptive movements during sleep? ","Sleep Disorders","['No Specific Test']","5"
"125","CaPS","[c3 sleep disturbance q11h] fall asleep or doze momentarily: watching tv, reading, in meetings etc? ","Daytime Sleepiness","['No Specific Test']","0"
"126","CaPS","[c3 sleep disturbance q6] how often(if ever) have you had the feeling or awareness that you have been snoring? ","Sleep Disorders","['No Specific Test']","5"
"127","CaPS","[c3 sleep disturbance q8] how often have you wakened suddenly with the feeling of gasping or choking? ","Sleep Disorders","['No Specific Test']","5"
"128","CaPS","[c3 sleep disturbance q8] how often have you wakened suddenly with the feeling of gasping or choking? ","Sleep Latency and Waking","['No Specific Test']","5"
"129","CaPS","[c5 self completion quest q47] how many hours of sleep do you usually get each night?","Sleep Duration","['No Specific Test']","5"
"130","CaPS","[c2 psychosocial quest noise q2] i am easily awakened by noise ","Sleep Environment","['No Specific Test']","3"
"131","CaPS","[c2 psychosocial quest noise q2] i am easily awakened by noise ","Sleep Latency and Waking","['No Specific Test']","3"
"132","CaPS","[c5 self completion quest q42] how often do you gasp or choke during sleep? ","Sleep Disorders","['No Specific Test']","5"
"133","CaPS","[c5 self completion quest q39] how loud is your snoring? ","Sleep Disorders","['No Specific Test']","5"
"134","CaPS","[c3 general health q22] have you recently been feeling unhappy and depressed? ","Uncategorized","['No Specific Test']","5"
"135","CaPS","[c5 self completion quest q50] do you take sleeping tablets? ","Sleep Medications and Aids","['No Specific Test']","5"
"136","CaPS","[c2 psychosocial quest noise q9] i get angry with people who make noise that keeps me awake or doing work ","Sleep Environment","['No Specific Test']","0"
"137","CaPS","[c2 psychosocial quest noise q9] i get angry with people who make noise that keeps me awake or doing work ","Sleep Latency and Waking","['No Specific Test']","0"
"138","CaPS","[c5 self completion quest q44] how often do you have momentary periods during sleep when you stop breathing or breath abnormally? ","Sleep Disorders","['No Specific Test']","5"
"139","CaPS","[c2 general health q2] have you recently lost much sleep over worry? ","Mental Health and Sleep","['No Specific Test']","5"
"140","CaPS","[c5 self completion quest q51f] how likely are you to fall asleep sitting talking to someone? ","Sleep Latency and Waking","['No Specific Test']","5"
"141","CaPS","[c5 self completion quest q51f] how likely are you to fall asleep sitting talking to someone? ","Daytime Sleepiness","['No Specific Test']","5"
"142","CaPS","[c5 self completion quest q46] approximately how many minutes does it usually take you to fall asleep?","Sleep Latency and Waking","['No Specific Test']","5"
"143","CaPS","[c5 self completion quest q41] how often have you had the feeling of awareness that you have been snoring? ","Sleep Disorders","['No Specific Test']","5"
"144","CaPS","[c5 self completion quest q51g] how likely are you to fall asleep sitting quietly after lunch without alcohol? ","Daytime Sleepiness","['No Specific Test']","5"
"145","CaPS","[c3 lifestyle quest q11c] does traffic noise ever wake you up? ","Sleep Environment","['No Specific Test']","5"
"146","CaPS","[c3 lifestyle quest q11c] does traffic noise ever wake you up? ","Sleep Latency and Waking","['No Specific Test']","5"
"147","CaPS","[c3 general health q5] have you recently been getting out of the house as much as usual? ","Uncategorized","['No Specific Test']","5"
"148","CaPS","[c5 self completion quest q51b] how likely are you to fall asleep watching tv? ","Daytime Sleepiness","['No Specific Test']","5"
"149","CaPS","[c5 self completion quest q51a] how likely are you to fall asleep sitting and reading? ","Daytime Sleepiness","['No Specific Test']","5"
"150","CaPS","[c5 self completion quest q51d] how likely are you to fall asleep as a passenger in a car? ","Daytime Sleepiness","['No Specific Test']","5"
"151","CaPS","[c5 self completion quest q51d] how likely are you to fall asleep as a passenger in a car? ","Sleep Environment","['No Specific Test']","5"
"152","CaPS","[c5 self completion quest q51c] how likely are you to fall asleep in a theatre or meeting? ","Daytime Sleepiness","['No Specific Test']","5"
"153","CaPS","[c5 self completion quest q51c] how likely are you to fall asleep in a theatre or meeting? ","Sleep Environment","['No Specific Test']","5"
"154","CaPS","[c5 self completion quest q51h] how likely are you to fall asleep in a car stopped at traffic lights? ","Daytime Sleepiness","['No Specific Test']","5"
"155","CaPS","[c5 self completion quest q51h] how likely are you to fall asleep in a car stopped at traffic lights? ","Sleep Environment","['No Specific Test']","5"
"156","CaPS","[c5 self completion quest q51e] how likely are you to fall asleep lying down to rest in the afternoon? ","Daytime Sleepiness","['No Specific Test']","5"
"157","CaPS","[c3 general health q1] have you recently been able to concentrate on whatever youre doing? ","Uncategorized","['No Specific Test']","5"
"158","CFAS","Does s/he have difficulty in getting to sleep?","Sleep Difficulty","['No Specific Test']","5"
"159","CFAS","Trouble sleeping recently?","Sleep Difficulty","['No Specific Test']","2"
"160","CFAS","Have you had any trouble sleeping recently?","Sleep Difficulty","['No Specific Test']","5"
"161","CFAS","Is that a problem now? (If YES: How bad is it?)","Sleep Difficulty","['No Specific Test']","5"
"162","CFAS","Did s/he have difficulty sleeping at the start? (If YES: How bad was that)","Sleep Difficulty","['No Specific Test']","3"
"163","CFAS","Does s/he take alcohol to get to sleep?","Sleep Medications and Aids","['No Specific Test']","5"
"164","CFAS","Does s/he take alcohol to get to sleep?","Alcohol Related","['No Specific Test']","5"
"165","CFAS","Sleep interrupted","Sleep Difficulty","['No Specific Test']","3"
"166","CFAS","Do you have problems staying asleep or falling asleep?","Sleep Difficulty","['No Specific Test']","5"
"167","CFAS","Does s/he wake early in the morning, before his/her normal time, and not get back to sleep again?","Sleep Difficulty","['No Specific Test']","5"
"168","CFAS","Rate - insomnia","Sleep Disorders","['No Specific Test']","1"
"169","CFAS","Do you ever have any problems sleeping? (PROMPT: How often?)","Sleep Difficulty","['No Specific Test']","5"
"170","CFAS","RATE HAS INSOMNIA MOST OF THE NIGHT AND SLEEPS MAINLY DURING THE DAY (If not established ASK When do you get any sleep?)","Sleep Disorders","['No Specific Test']","1"
"171","CFAS","Difficulty falling asleep","Sleep Difficulty","['No Specific Test']","1"
"172","CFAS","Difficulty falling asleep","Sleep Latency and Waking","['No Specific Test']","1"
"173","CFAS","Interviewee repeatedly falls asleep and has to be awakened.","Uncategorized","['No Specific Test']","4"
"174","CFAS","Rate-Respondent fell asleep","Uncategorized","['No Specific Test']","3"
"175","CFAS","Is s/he restless or wakeful during the night?","Sleep Difficulty","['No Specific Test']","5"
"176","CFAS","Is s/he restless or wakeful during the night?","Sleep Latency and Waking","['No Specific Test']","5"
"177","CFAS","Anything taken to help sleep?","Sleep Medications and Aids","['No Specific Test']","3"
"178","CFAS","Have you taken anything to help you sleep? Does it help?","Sleep Medications and Aids","['No Specific Test']","5"
"179","CFAS","What disturbs sleep","Sleep Latency and Waking","['No Specific Test']","5"
"180","CFAS","Rate-restless","Sleep Difficulty","['No Specific Test']","3"
"181","CFAS","At what age did your sleep become a problem?","Uncategorized","['No Specific Test']","5"
"182","CFAS","rate: who answered sleep section?","Uncategorized","['No Specific Test']","3"
"183","CFAS","How long troubled sleep","Sleep Difficulty","['No Specific Test']","3"
"184","CFAS","who answered memory/sleep section?","Uncategorized","['No Specific Test']","3"
"185","CFAS","Interviewee appears generally sleep, but does not actually fall asleep.","Uncategorized","['No Specific Test']","4"
"186","CFAS","Wakes up early","Sleep Latency and Waking","['No Specific Test']","0"
"187","CFAS","Was it when you were wide awake?","Uncategorized","['No Specific Test']","5"
"188","CFAS","Visions when wide awake","Uncategorized","['No Specific Test']","2"
"189","CFAS","RATE AWAKENS EARLY BY 2 HOURS OR MORE & CANNOT GET BACK TO SLEEP, MOST NIGHTS FOR AT LEAST TWO WEEKS IN THE LAST MONTH.","Sleep Duration","['No Specific Test']","0"
"190","CFAS","RATE AWAKENS EARLY BY 2 HOURS OR MORE & CANNOT GET BACK TO SLEEP, MOST NIGHTS FOR AT LEAST TWO WEEKS IN THE LAST MONTH.","Sleep Latency and Waking","['No Specific Test']","0"
"191","CFASII","Is your sleep interrupted during the night?","Sleep Difficulty","['No Specific Test']","5"
"192","CFASII","Have you had difficulty falling asleep (getting off to sleep)? Do you lie awake for long periods of time (waiting for sleep)?","Sleep Difficulty","['No Specific Test']","5"
"193","CFASII","Have you had difficulty falling asleep (getting off to sleep)? Do you lie awake for long periods of time (waiting for sleep)?","Sleep Latency and Waking","['No Specific Test']","5"
"194","CFASII","obs - falls asleep","Uncategorized","['No Specific Test']","0"
"195","CFASII","Have you recently been waking up early in the morning and found it impossible to get back to sleep? What time would that be? Is that your usual time? How often has it happened?","Sleep Latency and Waking","['No Specific Test']","5"
"196","CFASII","What wakes you up? (What is the difficulty?) Is it a physical problem like having to pass (water) urine, or pain? Does noise bother you?","Sleep Latency and Waking","['No Specific Test']","5"
"197","CFASII","RATE SLEEP INTERRUPTED DURING THE NIGHT MOST NIGHTS FOR AT LEAST TWO WEEKS IN THE LAST MONTH.","Sleep Difficulty","['No Specific Test']","5"
"198","CFASII","Proxy answered eating habits and sleep section.","Uncategorized","['No Specific Test']","0"
"199","CFASII","obs - generally sleepy","Uncategorized","['No Specific Test']","3"
"200","ELSA","During the last month how would you rate your sleep quality overall?","Sleep Quality","['No Specific Test']","5"
"201","ELSA","difficulty in sleeping in last 30 days","Sleep Difficulty","['No Specific Test']","1"
"202","ELSA","in the last 12 months, how often has wheezing disturbed sleep","Sleep Difficulty","['No Specific Test']","5"
"203","ELSA","How often do you have difficulty falling asleep?","Sleep Difficulty","['No Specific Test']","5"
"204","ELSA","How often do you have difficulty falling asleep?","Sleep Latency and Waking","['No Specific Test']","5"
"205","ELSA","alice vignette: difficulty in sleeping in last 30 days","Sleep Difficulty","['No Specific Test']","4"
"206","ELSA","carol vignette: difficulty in sleeping in last 30 days","Sleep Difficulty","['No Specific Test']","4"
"207","ELSA","(Much of the time during the past week), your sleep was restless?","Sleep Difficulty","['No Specific Test']","3"
"208","ELSA","r7sleepr:w7 r cesd: sleep was restless (0,1)","Sleep Difficulty","['CESD']","3"
"209","ELSA","s7sleepr:w7 s cesd: sleep was restless (0,1)","Sleep Difficulty","['CESD']","3"
"210","ELSA","r1sleepr:w1 r cesd: sleep was restless (0,1)","Sleep Difficulty","['CESD']","3"
"211","ELSA","r2sleepr:w2 r cesd: sleep was restless (0,1)","Sleep Difficulty","['CESD']","3"
"212","ELSA","r3sleepr:w3 r cesd: sleep was restless (0,1)","Sleep Difficulty","['CESD']","3"
"213","ELSA","s1sleepr:w1 s cesd: sleep was restless (0,1)","Sleep Difficulty","['CESD']","3"
"214","ELSA","s2sleepr:w2 s cesd: sleep was restless (0,1)","Sleep Difficulty","['CESD']","3"
"215","ELSA","s3sleepr:w3 s cesd: sleep was restless (0,1)","Sleep Difficulty","['CESD']","3"
"216","ELSA","r4sleepr:w4 r cesd: sleep was restless (0,1)","Sleep Difficulty","['CESD']","3"
"217","ELSA","s4sleepr:w4 s cesd: sleep was restless (0,1)","Sleep Difficulty","['CESD']","3"
"218","ELSA","r5sleepr:w5 r cesd: sleep was restless (0,1)","Sleep Difficulty","['CESD']","3"
"219","ELSA","s5sleepr:w5 s cesd: sleep was restless (0,1)","Sleep Difficulty","['CESD']","3"
"220","ELSA","r6sleepr:w6 r cesd: sleep was restless (0,1)","Sleep Difficulty","['CESD']","3"
"221","ELSA","s6sleepr:w6 s cesd: sleep was restless (0,1)","Sleep Difficulty","['CESD']","3"
"222","ELSA","margaret vignette: difficulty in sleeping in last 30 days","Sleep Difficulty","['No Specific Test']","4"
"223","ELSA","lost sleep over worry","Mental Health and Sleep","['GHQ']","2"
"224","ELSA","ghq: lost sleep over worry","Mental Health and Sleep","['GHQ']","3"
"225","ELSA","How often in the past month did you have trouble staying asleep (including waking far too early)?","Sleep Difficulty","['No Specific Test']","5"
"226","ELSA","How often in the past month did you have trouble staying asleep (including waking far too early)?","Sleep Latency and Waking","['No Specific Test']","5"
"227","ELSA","no height: child asleep","Uncategorized","['No Specific Test']","0"
"228","ELSA","no weight: child asleep","Uncategorized","['No Specific Test']","3"
"229","ELSA","sleep: number of hours on average week night","Sleep Duration","['No Specific Test']","1"
"230","ELSA","what time did you go to sleep yesteday? hours","Sleep Onset","['No Specific Test']","5"
"231","ELSA","sleep been disturbed by itching or scratching","Sleep Difficulty","['No Specific Test']","2"
"232","ELSA","How often do you wake up several times in the night?","Sleep Latency and Waking","['No Specific Test']","5"
"233","ELSA","time respondent went to sleep yesterday (hours)","Sleep Onset","['No Specific Test']","0"
"234","ELSA","what time did you go to sleep yesteday? am or pm","Sleep Onset","['No Specific Test']","5"
"235","ELSA","what time did you go to sleep yesteday? minutes","Sleep Onset","['No Specific Test']","5"
"236","ELSA","How often do you wake up after your usual amount of sleep feeling tired and worn out?","Daytime Sleepiness","['No Specific Test']","5"
"237","ELSA","How often do you wake up after your usual amount of sleep feeling tired and worn out?","Sleep Latency and Waking","['No Specific Test']","5"
"238","ELSA","How often do you wake up after your usual amount of sleep feeling tired and worn out?","Sleep Quality","['No Specific Test']","5"
"239","ELSA","How often do you doze off or take a nap during the morning or afternoon?","Daytime Sleepiness","['No Specific Test']","5"
"240","ELSA","cortisol awakening response (only if interval le 45 min)","Uncategorized","['No Specific Test']","1"
"241","ELSA","how frequently did you wake up with a full erection during the past month?","Physical Health and Sleep","['No Specific Test']","5"
"242","ELSA","derived: time respondent went to sleep yesterday - 24 hour clock","Sleep Onset","['No Specific Test']","4"
"243","ELSA","what time did you wake up yesterday? minutes","Sleep Latency and Waking","['No Specific Test']","5"
"244","ELSA","what time did you wake up yesterday? hours","Sleep Latency and Waking","['No Specific Test']","5"
"245","ELSA","what time did you wake up yesterday? am or pm","Sleep Latency and Waking","['No Specific Test']","5"
"246","EPIC","on average, how many hours do you sleep in a 24 hour period? (fu2)","Sleep Duration","['No Specific Test']","5"
