"","ui","rootSource","uri","name"
"1726","C5442986","MTHSPL","https://uts-ws.nlm.nih.gov/rest/content/2022AA/CUI/C5442986","ARSENIC TRIOXIDE 30 [hp_X] in 1 mL / AVENA SATIVA FLOWERING TOP 30 [hp_X] in 1 mL / ARABICA COFFEE BEAN 30 [hp_X] in 1 mL / POTASSIUM CARBONATE 30 in 1 mL / MAGNESIUM CARBONATE 30 [hp_X] in 1 mL / STRYCHNOS NUX-VOMICA SEED 30 [hp_X] in 1 mL / PASSIFLORA INCARNATA FLOWERING TOP 30 [hp_X] in 1 mL / SEPIA OFFICINALIS JUICE 30 [hp_X] in 1 mL / VALERIAN 30 [hp_X] in 1 mL ORAL LIQUID [Sleep HP]"
"1727","C4762524","MTHSPL","https://uts-ws.nlm.nih.gov/rest/content/2022AA/CUI/C4762524","AVENA SATIVA FLOWERING TOP 6 [hp_C] in 30 mL / CHAMOMILE 6 [hp_C] in 30 mL / HELLEBORUS NIGER ROOT 6 [hp_C] in 30 mL / STRYCHNOS IGNATII SEED 6 [hp_C] in 30 mL / CANAKINUMAB 4 [hp_C] in 30 mL / MELATONIN 4 [hp_C] in 30 mL / MELISSA OFFICINALIS 6 [hp_C] in 30 mL / SUS SCROFA PINEAL GLAND 12 [hp_X] in 30 mL / PULSATILLA VULGARIS 6 [hp_C] in 30 mL / SEROTONIN 6 [hp_C] in 30 mL / VALERIAN 6 [hp_C] in 30 mL ORAL SOLUTION/ DROPS [GUNA-SLEEP]"
"1728","C4019816","MTHSPL","https://uts-ws.nlm.nih.gov/rest/content/2022AA/CUI/C4019816","AESCULUS HIPPOCASTANUM FLOWER 5 [hp_X] in 29.6 mL / MATRICARIA RECUTITA 6 [hp_C] in 29.6 mL / FERROSOFERRIC PHOSPHATE 12 [hp_X] in 29.6 mL / HELIANTHEMUM NUMMULARIUM FLOWER 5 [hp_X] in 29.6 mL / MIMULUS GUTTATUS FLOWERING TOP 5 [hp_X] in 29.6 mL / SODIUM CHLORIDE 6 [hp_X] in 29.6 mL / SODIUM PHOSPHATE, DIBASIC, HEPTAHYDRATE 6 [hp_X] in 29.6 mL / SODIUM SULFATE 6 [hp_X] in 29.6 mL / PHOSPHORUS 6 [hp_C] in 29.6 mL / VERBENA OFFICINALIS FLOWERING TOP 5 [hp_X] in 29.6 mL ORAL SPRAY [soothe and sleep]"
"1729","C0710420","RXNORM","https://uts-ws.nlm.nih.gov/rest/content/2022AA/CUI/C0710420","diphenhydramine hydrochloride 50 MG Oral Tablet [Compoz]"
"1730","C0182339","SNOMEDCT_US","https://uts-ws.nlm.nih.gov/rest/content/2022AA/CUI/C0182339","Polysomnograph"
"1731","C4325408","MTHSPL","https://uts-ws.nlm.nih.gov/rest/content/2022AA/CUI/C4325408","ADENOSINE TRIPHOSPHATE DISODIUM 8 [hp_X] / PANTOTHENIC ACID 8 [hp_X] / SUS SCROFA PINEAL GLAND 8 [hp_X] / LACTIC ACID, L- 8 [hp_X] / UBIDECARENONE 8 [hp_X] / MELATONIN 8 [hp_X] / PYRROLE 8 [hp_X] / TRYPTOPHAN 8 [hp_X] / ARSENIC TRIOXIDE 10 [hp_X] / AVENA SATIVA FLOWERING TOP 10 [hp_X] / MATRICARIA RECUTITA 10 [hp_X] / ARABICA COFFEE BEAN 10 [hp_X] / MERCURIC CHLORIDE 10 [hp_X] / PASSIFLORA INCARNATA FLOWERING TOP 10 [hp_X] / SILICON DIOXIDE 10 [hp_X] / ZINC VALERATE DIHYDRATE 10 [hp_X] / SHIGELLA DYSENTERIAE 30 [hp_C] / SALMONELLA ENTERICA SUBSP. ENTERICA SEROVAR ENTERITIDIS 30 [hp_C] ORAL LIQUID [Perfect Sleep]"
"1732","C4083174","RXNORM","https://uts-ws.nlm.nih.gov/rest/content/2022AA/CUI/C4083174","doxylamine succinate 25 MG Oral Tablet [Wal-Som (doxylamine)]"
"1733","C2979177","RXNORM","https://uts-ws.nlm.nih.gov/rest/content/2022AA/CUI/C2979177","diphenhydramine hydrochloride 50 MG Oral Capsule [Wal-Som Maximum Strength]"
"1734","C3249809","RXNORM","https://uts-ws.nlm.nih.gov/rest/content/2022AA/CUI/C3249809","diphenhydramine hydrochloride 50 MG Oral Capsule [Compoz]"
"1735","C0335212","SNOMEDCT_US","https://uts-ws.nlm.nih.gov/rest/content/2022AA/CUI/C0335212","Sleeping- or pullman-car attendant"
